FILE NAME;001_22306_050622_061433.CSV
HASHCODE;CB453CCF65EFCE240628CA7CD9D3A7325C19FCD828C10370AB46CA303BB295B2
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;05/06/2022;06:14:33;GMT+00:00
END OF MEASUREMENT;05/06/2022;06:15:22;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   48660;[mS]
TIME GPS SPEED WENT OVER 2KPH;   20490;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 60,26;[kph]
TIME OF PEAK GPS SPEED;   42290;[mS]
PEAK SPEED; 60,34;[kph]
TIME OF PEAK SPEED;   42500;[mS]
TIME ACC WENT OVER 1m/s/s;   29990;[mS]
PEAK ACC;  4,50;[m/s/s]
TIME OF PEAK ACC;   25630;[mS]
PEAK PITCH;   1,96;[deg]
TIME OF PEAK PITCH;   46110;[mS]
PEAK SLIP; 179,88;[deg]
TIME OF PEAK SLIP;   32290;[mS]
AVERAGE LONG ACCEL AT START;  0,11;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,23;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,80;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,03;[deg/s]
AVERAGE LONG ACCEL AT END;  0,12;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,17;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,72;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,21;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;13,8;-0,04;0,21;9,88;-0,15;0,00;0;0;0;4,4;4,6796198;51,8473778;-276,02;-791,13;-3,09;1;10;0,5;1,8;0,00;0,45;0,63;0,14;0,02;0,00;0,36
10;13,7;0,13;0,18;9,79;0,03;0,00;0;0;0;4,4;4,6796198;51,8473778;-276,02;-791,13;-3,09;1;10;0,5;1,8;0,64;1,22;0,64;-0,15;0,00;0,00;0,35
20;13,7;0,02;0,34;9,81;-0,05;0,00;0;0;0;4,4;4,6796198;51,8473778;-276,02;-791,13;-3,09;1;10;0,5;1,8;0,64;1,13;0,64;0,02;0,01;0,00;0,35
30;13,8;0,27;0,26;9,72;0,07;0,00;0;0;0;4,4;4,6796198;51,8473778;-276,02;-791,13;-3,09;1;10;0,5;1,8;0,64;1,42;0,64;-0,09;-0,00;0,00;0,35
40;13,7;0,18;0,13;9,84;0,30;0,00;0;0;0;4,4;4,6796198;51,8473778;-276,02;-791,13;-3,09;1;10;0,5;1,8;0,64;1,44;0,64;0,16;0,01;0,00;0,35
50;13,6;-0,00;0,29;9,74;-0,19;0,00;0;0;0;4,4;4,6796198;51,8473778;-276,02;-791,13;-3,09;1;10;0,5;1,8;0,64;1,31;0,64;0,07;0,02;0,00;0,35
60;13,7;0,06;0,19;9,81;-0,14;0,00;0;0;0;4,4;4,6796198;51,8473778;-276,02;-791,13;-3,09;1;10;0,5;1,8;0,64;1,37;0,64;-0,11;0,00;0,00;0,35
70;13,8;0,19;0,07;9,94;0,09;0,00;0;0;0;4,4;4,6796198;51,8473778;-276,02;-791,13;-3,09;1;10;0,5;1,8;0,64;1,33;0,64;-0,04;-0,00;0,00;0,34
80;13,8;0,22;0,36;9,79;0,25;0,00;0;0;0;4,4;4,6796198;51,8473778;-276,02;-791,13;-3,09;1;10;0,5;1,8;0,64;1,22;0,64;0,08;0,01;0,00;0,35
90;13,7;0,05;0,34;9,82;0,20;0,00;0;0;0;4,4;4,6796198;51,8473778;-276,02;-791,13;-3,09;1;10;0,5;1,8;0,64;1,32;0,64;0,11;0,02;0,00;0,35
100;13,8;0,08;0,05;9,81;-0,20;0,00;0;0;0;4,4;4,6796198;51,8473778;-276,02;-791,13;-3,09;1;10;0,5;1,8;0,64;1,39;0,65;-0,07;0,01;0,00;0,34
