FILE NAME;002_22306_050622_061714.CSV
HASHCODE;2F289EF0C1525319E87ABE88DFDC63467B07E082E44F9E89CA50AA00DA537AB7
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;05/06/2022;06:17:14;GMT+00:00
END OF MEASUREMENT;05/06/2022;06:17:57;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   43670;[mS]
TIME GPS SPEED WENT OVER 2KPH;   15020;[mS]
TIME GPS SPEED WENT UNDER 2KPH;      20;[mS]
PEAK GPS SPEED; 71,64;[kph]
TIME OF PEAK GPS SPEED;   28010;[mS]
PEAK SPEED; 71,18;[kph]
TIME OF PEAK SPEED;   28280;[mS]
TIME ACC WENT OVER 1m/s/s;   18850;[mS]
PEAK ACC;  7,28;[m/s/s]
TIME OF PEAK ACC;   32910;[mS]
PEAK PITCH;   1,94;[deg]
TIME OF PEAK PITCH;   18140;[mS]
PEAK SLIP; 179,84;[deg]
TIME OF PEAK SLIP;   24810;[mS]
AVERAGE LONG ACCEL AT START;  0,13;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,23;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,81;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,05;[deg/s]
AVERAGE LONG ACCEL AT END; -0,12;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,29;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,79;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,12;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;13,8;0,22;0,28;9,97;0,03;0,29;0;0;0;140,7;4,6796188;51,8473892;-276,05;-789,61;-4,03;1;10;0,5;1,8;0,67;1,37;0,62;0,16;0,22;0,00;0,00
10;13,8;0,28;0,12;9,71;-0,27;0,29;0;0;0;140,7;4,6796188;51,8473892;-276,05;-789,61;-4,03;1;10;0,5;1,8;0,62;1,61;0,62;0,11;0,21;0,00;0,00
20;13,8;0,38;0,33;9,76;-0,14;0,14;0;0;0;137,0;4,6796188;51,8473892;-276,05;-789,61;-4,05;1;10;0,5;1,8;0,62;1,16;0,62;0,17;0,20;0,00;0,00
30;13,8;0,42;0,28;9,91;0,21;0,14;0;0;0;137,0;4,6796188;51,8473892;-276,05;-789,61;-4,05;1;10;0,5;1,8;0,62;1,42;0,62;0,28;0,21;0,00;0,00
40;13,9;0,29;0,18;9,68;0,24;0,14;0;0;0;137,0;4,6796188;51,8473892;-276,05;-789,61;-4,05;1;10;0,5;1,8;0,62;1,47;0,62;0,31;0,22;0,00;0,00
50;13,7;0,24;0,29;9,65;-0,11;0,14;0;0;0;137,0;4,6796188;51,8473892;-276,05;-789,61;-4,05;1;10;0,5;1,8;0,62;1,39;0,63;0,19;0,22;0,00;0,00
60;13,8;0,30;0,21;9,93;-0,38;0,14;0;0;0;137,0;4,6796188;51,8473892;-276,05;-789,61;-4,05;1;10;0,5;1,8;0,62;1,43;0,63;0,13;0,21;0,00;0,00
70;13,9;0,33;0,08;9,93;0,23;0,14;0;0;0;137,0;4,6796188;51,8473892;-276,05;-789,61;-4,05;1;10;0,5;1,8;0,62;1,40;0,62;0,20;0,21;0,00;0,00
80;13,8;0,30;0,35;9,52;0,24;0,14;0;0;0;137,0;4,6796188;51,8473892;-276,05;-789,61;-4,05;1;10;0,5;1,8;0,62;1,29;0,63;0,23;0,21;0,00;0,00
90;13,8;0,17;0,48;9,62;0,17;0,14;0;0;0;137,0;4,6796188;51,8473892;-276,05;-789,61;-4,05;1;10;0,5;1,8;0,62;1,37;0,63;0,20;0,21;0,00;0,00
100;13,8;0,21;0,11;9,92;-0,15;0,14;0;0;0;137,0;4,6796188;51,8473892;-276,05;-789,61;-4,05;1;10;0,5;1,8;0,63;1,52;0,73;0,06;0,19;0,00;0,00
