FILE NAME;003_22306_050622_061947.CSV
HASHCODE;BF8C02907A6CCC92B3C6C47B4303BD2CE10E8247B25877735C01CBFC7810AFC5
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;05/06/2022;06:19:47;GMT+00:00
END OF MEASUREMENT;05/06/2022;06:17:57;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;LOW SUPPLY VOLTAGE;LOW INTERNAL VOLTAGE TEST ABORTED
UNIT SERIAL;22306
TOTAL TIME;       0;[mS]
TIME GPS SPEED WENT OVER 2KPH;    9830;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   91400;[mS]
PEAK GPS SPEED;  0,00;[kph]
TIME OF PEAK GPS SPEED;   25600;[mS]
PEAK SPEED;  0,00;[kph]
TIME OF PEAK SPEED;   25500;[mS]
TIME ACC WENT OVER 1m/s/s;   14240;[mS]
PEAK ACC;  0,00;[m/s/s]
TIME OF PEAK ACC;   26260;[mS]
PEAK PITCH;   0,00;[deg]
TIME OF PEAK PITCH;   39260;[mS]
PEAK SLIP;   0,00;[deg]
TIME OF PEAK SLIP;   19610;[mS]
AVERAGE LONG ACCEL AT START;  0,92;[m/s/s]
AVERAGE LAT ACCEL AT START;  2,20;[m/s/s]
AVERAGE VERT ACCEL AT START;100,10;[m/s/s]
AVERAGE PITCH RATE AT START;   0,68;[deg/s]
AVERAGE LONG ACCEL AT END;  0,00;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,00;[m/s/s]
AVERAGE VERT ACCEL AT END;  0,00;[m/s/s]
AVERAGE PITCH RATE AT END;   0,00;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;13,8;0,06;0,13;9,90;0,16;0,04;0;0;0;188,6;4,6796365;51,8473549;-274,85;-793,79;-3,82;3;10;0,5;1,8;1,09;1,36;0,45;-0,12;0,02;0,00;0,06
10;13,8;0,05;0,34;9,72;-0,04;0,04;0;0;0;188,6;4,6796365;51,8473549;-274,85;-793,79;-3,82;3;10;0,5;1,8;0,45;0,76;0,45;-0,01;0,02;0,00;0,06
20;13,8;0,12;0,27;9,86;-0,29;0,04;0;0;0;188,6;4,6796365;51,8473549;-274,85;-793,79;-3,82;3;10;0,5;1,8;0,45;1,39;0,45;-0,03;0,01;0,00;0,05
30;13,9;0,23;0,06;9,95;0,17;0,04;0;0;0;188,6;4,6796365;51,8473549;-274,85;-793,79;-3,82;3;10;0,5;1,8;0,45;1,44;0,45;0,05;0,01;0,00;0,05
40;13,8;0,13;0,43;9,59;0,21;0,04;0;0;0;188,6;4,6796365;51,8473549;-274,85;-793,79;-3,82;3;10;0,5;1,8;0,45;1,17;0,45;0,15;0,03;0,00;0,06
50;13,8;-0,07;0,31;9,75;-0,09;0,04;0;0;0;188,6;4,6796365;51,8473549;-274,85;-793,79;-3,82;3;10;0,5;1,8;0,45;1,44;0,45;0,05;0,03;0,00;0,06
60;13,9;0,06;0,07;9,94;-0,25;0,04;0;0;0;188,6;4,6796365;51,8473549;-274,85;-793,79;-3,82;3;10;0,5;1,8;0,45;1,51;0,45;-0,15;0,01;0,00;0,05
70;13,8;0,28;0,23;9,76;-0,14;0,04;0;0;0;188,6;4,6796365;51,8473549;-274,85;-793,79;-3,82;3;10;0,5;1,8;0,45;1,35;0,45;-0,02;0,01;0,00;0,05
80;13,7;0,11;0,28;9,79;0,10;0,04;0;0;0;188,6;4,6796365;51,8473549;-274,85;-793,79;-3,82;3;10;0,5;1,8;0,45;1,35;0,45;0,20;0,03;0,00;0,06
90;13,8;0,01;0,11;9,94;-0,19;0,04;0;0;0;188,6;4,6796365;51,8473549;-274,85;-793,79;-3,82;3;10;0,5;1,8;0,45;1,38;0,45;0,04;0,03;0,00;0,06
100;13,9;0,23;0,24;9,82;0,21;0,04;0;0;0;188,6;4,6796365;51,8473549;-274,85;-793,79;-3,82;3;10;0,5;1,8;0,45;1,31;0,45;-0,07;0,02;0,00;0,06
