FILE NAME;004_22306_050622_063317.CSV
HASHCODE;7CB2909C0B063CBAAABDE7D0845252D8497CC84484A1F4EF7D6FE6A6E9CCAFEE
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;05/06/2022;06:33:17;GMT+00:00
END OF MEASUREMENT;05/06/2022;06:34:40;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   82580;[mS]
TIME GPS SPEED WENT OVER 2KPH;   12180;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 62,10;[kph]
TIME OF PEAK GPS SPEED;   43980;[mS]
PEAK SPEED; 62,16;[kph]
TIME OF PEAK SPEED;   44050;[mS]
TIME ACC WENT OVER 1m/s/s;   16710;[mS]
PEAK ACC;  4,16;[m/s/s]
TIME OF PEAK ACC;   64160;[mS]
PEAK PITCH;   3,73;[deg]
TIME OF PEAK PITCH;   79350;[mS]
PEAK SLIP; 179,94;[deg]
TIME OF PEAK SLIP;   29390;[mS]
AVERAGE LONG ACCEL AT START;  0,13;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,20;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,79;[m/s/s]
AVERAGE PITCH RATE AT START;   0,29;[deg/s]
AVERAGE LONG ACCEL AT END;  0,10;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,10;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,76;[m/s/s]
AVERAGE PITCH RATE AT END;   0,28;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;13,6;0,21;0,25;9,73;0,33;0,04;0;0;0;5,5;4,6796198;51,8473396;85,39;-184,38;-4,30;3;9;0,7;2,2;0,00;1,34;1,14;0,01;-0,06;0,00;0,03
10;13,6;0,19;0,23;9,90;0,41;0,04;0;0;0;5,5;4,6796198;51,8473396;85,39;-184,38;-4,30;3;9;0,7;2,2;1,14;1,44;1,14;0,01;-0,05;0,00;0,04
20;13,6;0,22;0,16;9,87;0,56;0,04;0;0;0;5,5;4,6796198;51,8473396;85,39;-184,38;-4,30;3;9;0,7;2,2;1,14;1,39;1,14;-0,01;-0,05;0,00;0,04
30;13,5;0,01;0,15;9,81;0,65;0,04;0;0;0;5,5;4,6796198;51,8473396;85,39;-184,38;-4,30;3;9;0,7;2,2;1,14;1,23;1,15;0,02;-0,04;0,00;0,04
40;13,5;0,01;0,20;9,85;0,46;0,04;0;0;0;5,5;4,6796198;51,8473396;85,39;-184,38;-4,30;3;9;0,7;2,2;1,15;1,15;1,15;-0,19;-0,06;0,00;0,04
50;13,6;0,24;0,22;9,81;0,48;0,04;0;0;0;5,5;4,6796198;51,8473396;85,39;-184,38;-4,30;3;9;0,7;2,2;1,15;1,15;1,15;-0,19;-0,07;0,00;0,03
60;13,6;0,24;0,21;9,68;0,42;0,04;0;0;0;5,5;4,6796198;51,8473396;85,39;-184,38;-4,30;3;9;0,7;2,2;1,15;1,17;1,15;0,04;-0,06;0,00;0,04
70;13,5;0,06;0,21;9,62;0,31;0,04;0;0;0;5,5;4,6796198;51,8473396;85,39;-184,38;-4,30;3;9;0,7;2,2;1,15;1,18;1,16;0,04;-0,05;0,00;0,04
80;13,5;0,05;0,24;9,79;-0,02;0,04;0;0;0;5,5;4,6796198;51,8473396;85,39;-184,38;-4,30;3;9;0,7;2,2;1,15;1,18;1,16;-0,13;-0,06;0,00;0,04
90;13,6;0,23;0,23;9,88;0,25;0,04;0;0;0;5,5;4,6796198;51,8473396;85,39;-184,38;-4,30;3;9;0,7;2,2;1,15;1,20;1,15;-0,15;-0,07;0,00;0,03
100;13,6;0,25;0,15;9,89;0,37;0,04;0;0;0;5,5;4,6796198;51,8473396;85,39;-184,38;-4,30;3;9;0,7;2,2;1,15;1,22;1,15;0,03;-0,06;0,00;0,04
