FILE NAME;005_22306_050622_063734.CSV
HASHCODE;5FDB22780B0152EC88F7A2391FEB2598D789C74B56917BB3B512D27521742EE4
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;05/06/2022;06:37:35;GMT+00:00
END OF MEASUREMENT;05/06/2022;06:37:50;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   15280;[mS]
TIME GPS SPEED WENT OVER 2KPH;      30;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 79,96;[kph]
TIME OF PEAK GPS SPEED;   15000;[mS]
PEAK SPEED; 80,50;[kph]
TIME OF PEAK SPEED;   15290;[mS]
TIME ACC WENT OVER 1m/s/s;    2020;[mS]
PEAK ACC;  4,25;[m/s/s]
TIME OF PEAK ACC;   10670;[mS]
PEAK PITCH;   1,56;[deg]
TIME OF PEAK PITCH;    1120;[mS]
PEAK SLIP; 179,82;[deg]
TIME OF PEAK SLIP;    8830;[mS]
AVERAGE LONG ACCEL AT START;  2,15;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,44;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,81;[m/s/s]
AVERAGE PITCH RATE AT START;   0,53;[deg/s]
AVERAGE LONG ACCEL AT END;  0,32;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,34;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,58;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,03;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;13,5;2,05;0,34;10,27;1,09;43,34;0;0;0;321,7;4,6796508;51,8473511;87,57;-183,62;0,37;3;10;0,5;2,3;1,15;1,20;1,25;1,73;1,84;157,57;46,43
10;13,5;2,45;0,39;9,91;2,14;43,34;0;0;0;321,7;4,6796508;51,8473511;87,57;-183,62;0,37;3;10;0,5;2,3;1,26;2,01;1,26;1,84;1,84;157,57;46,50
20;13,5;1,84;0,54;9,87;2,47;44,75;0;0;0;322,2;4,6796288;51,8473663;86,04;-181,72;0,42;3;10;0,5;2,3;1,27;2,15;1,28;2,24;1,88;157,57;46,58
30;13,5;1,65;0,36;9,93;1,75;44,75;0;0;0;322,2;4,6796288;51,8473663;86,04;-181,72;0,42;3;10;0,5;2,3;1,28;2,48;1,30;1,62;1,85;158,12;46,63
40;13,5;2,35;0,57;9,86;2,80;44,75;0;0;0;322,2;4,6796288;51,8473663;86,04;-181,72;0,42;3;10;0,5;2,3;1,29;2,39;1,31;1,42;1,81;158,12;46,68
50;13,6;2,46;0,52;10,36;2,65;44,75;0;0;0;322,2;4,6796288;51,8473663;86,04;-181,72;0,42;3;10;0,5;2,3;1,30;2,58;1,34;2,12;1,84;158,12;46,76
60;13,6;1,80;0,57;10,16;1,55;44,75;0;0;0;322,2;4,6796288;51,8473663;86,04;-181,72;0,42;3;10;0,5;2,3;1,31;2,65;1,36;2,23;1,88;158,12;46,84
70;13,6;2,18;0,46;9,75;1,54;44,75;0;0;0;322,2;4,6796288;51,8473663;86,04;-181,72;0,42;3;10;0,5;2,3;1,32;2,75;1,37;1,57;1,85;158,12;46,89
80;13,6;2,55;0,59;9,43;2,25;44,75;0;0;0;322,2;4,6796288;51,8473663;86,04;-181,72;0,42;3;10;0,5;2,3;1,33;2,74;1,39;1,95;1,86;158,12;46,96
90;13,6;2,25;0,61;9,71;1,70;44,75;0;0;0;322,2;4,6796288;51,8473663;86,04;-181,72;0,42;3;10;0,5;2,3;1,33;2,82;1,41;2,31;1,90;158,12;47,05
100;13,6;2,31;0,62;9,97;1,41;44,75;0;0;0;322,2;4,6796288;51,8473663;86,04;-181,72;0,42;3;10;0,5;2,3;1,34;2,89;1,42;2,01;1,91;158,12;47,12
