FILE NAME;006_22306_050622_064000.CSV
HASHCODE;EFB70C5F7434EF97C6F7024CA7FA70FCA8389218D52948F784A6D67629F45F17
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;05/06/2022;06:40:01;GMT+00:00
END OF MEASUREMENT;05/06/2022;06:40:41;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   40230;[mS]
TIME GPS SPEED WENT OVER 2KPH;      50;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 80,32;[kph]
TIME OF PEAK GPS SPEED;    6870;[mS]
PEAK SPEED; 80,82;[kph]
TIME OF PEAK SPEED;    6680;[mS]
TIME ACC WENT OVER 1m/s/s;    1830;[mS]
PEAK ACC;  5,05;[m/s/s]
TIME OF PEAK ACC;   26470;[mS]
PEAK PITCH;   3,56;[deg]
TIME OF PEAK PITCH;   23640;[mS]
PEAK SLIP; 179,90;[deg]
TIME OF PEAK SLIP;    8080;[mS]
AVERAGE LONG ACCEL AT START;  2,29;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,50;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,75;[m/s/s]
AVERAGE PITCH RATE AT START;   0,25;[deg/s]
AVERAGE LONG ACCEL AT END;  0,11;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,07;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,80;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,20;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;13,6;2,18;0,45;9,48;0,42;50,62;0;0;0;322,7;4,6795611;51,8474236;81,40;-175,26;-1,06;3;9;0,5;2,3;1,37;2,58;1,40;2,09;2,07;158,53;53,96
10;13,6;2,02;0,70;10,13;0,85;50,62;0;0;0;322,7;4,6795611;51,8474236;81,40;-175,26;-1,06;3;9;0,5;2,3;1,41;2,63;1,41;1,95;2,06;158,53;54,03
20;13,6;2,06;0,54;10,19;-0,02;50,62;0;0;0;322,7;4,6795611;51,8474236;81,40;-175,26;-1,06;3;9;0,5;2,3;1,41;3,37;1,41;1,78;2,03;158,53;54,09
30;13,6;2,43;0,59;10,04;0,96;50,62;0;0;0;322,7;4,6795611;51,8474236;81,40;-175,26;-1,06;3;9;0,5;2,3;1,41;3,29;1,41;1,82;2,01;158,53;54,16
40;13,6;2,45;0,53;9,88;1,40;50,62;0;0;0;322,7;4,6795611;51,8474236;81,40;-175,26;-1,06;3;9;0,5;2,3;1,41;3,33;1,41;2,19;2,03;158,53;54,24
50;13,6;1,99;0,58;9,83;0,34;52,20;0;0;0;322,8;4,6795359;51,8474426;79,67;-172,98;-1,01;3;9;0,5;2,3;1,41;3,28;1,43;2,21;2,05;158,53;54,32
60;13,6;2,40;0,71;10,00;1,07;52,20;0;0;0;322,8;4,6795359;51,8474426;79,67;-172,98;-1,01;3;9;0,5;2,3;1,42;3,29;1,43;1,75;2,02;158,72;54,38
70;13,6;2,71;0,45;10,39;2,12;52,20;0;0;0;322,8;4,6795359;51,8474426;79,67;-172,98;-1,01;3;9;0,5;2,3;1,42;3,42;1,43;2,16;2,03;158,72;54,46
80;13,6;2,05;0,39;10,33;1,24;52,20;0;0;0;322,8;4,6795359;51,8474426;79,67;-172,98;-1,01;3;9;0,5;2,3;1,42;3,32;1,45;2,47;2,08;158,72;54,55
90;13,6;2,15;0,49;10,17;1,15;52,20;0;0;0;322,8;4,6795359;51,8474426;79,67;-172,98;-1,01;3;9;0,5;2,3;1,43;3,21;1,46;1,80;2,05;158,72;54,62
100;13,6;2,32;0,24;9,94;1,95;52,20;0;0;0;322,8;4,6795359;51,8474426;79,67;-172,98;-1,01;3;9;0,5;2,3;1,43;3,17;1,47;1,90;2,03;158,72;54,69
