FILE NAME;007_22306_050622_064245.CSV
HASHCODE;CEE5818AFD75B2FCBF986E7898BFC959CECF60DF600F84B5B3492DB4E2114EF9
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;05/06/2022;06:42:45;GMT+00:00
END OF MEASUREMENT;05/06/2022;06:43:10;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   25130;[mS]
TIME GPS SPEED WENT OVER 2KPH;      70;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 62,32;[kph]
TIME OF PEAK GPS SPEED;   23480;[mS]
PEAK SPEED; 62,46;[kph]
TIME OF PEAK SPEED;   23120;[mS]
TIME ACC WENT OVER 1m/s/s;    1480;[mS]
PEAK ACC;  3,69;[m/s/s]
TIME OF PEAK ACC;    4860;[mS]
PEAK PITCH;   1,74;[deg]
TIME OF PEAK PITCH;   20560;[mS]
PEAK SLIP; 179,95;[deg]
TIME OF PEAK SLIP;   10280;[mS]
AVERAGE LONG ACCEL AT START;  0,68;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,33;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,75;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,68;[deg/s]
AVERAGE LONG ACCEL AT END; -0,60;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,29;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,77;[m/s/s]
AVERAGE PITCH RATE AT END;   0,24;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;13,6;1,94;0,18;9,60;0,65;41,40;0;0;0;322,7;4,6795106;51,8474770;77,91;-169,55;-1,48;3;9;0,5;2,3;1,50;2,96;1,28;1,51;1,39;158,60;43,51
10;13,6;1,35;0,32;9,87;-0,54;41,40;0;0;0;322,7;4,6795106;51,8474770;77,91;-169,55;-1,48;3;9;0,5;2,3;1,29;1,05;1,29;1,73;1,42;158,60;43,57
20;13,6;1,68;0,29;9,92;-0,42;41,40;0;0;0;322,7;4,6795106;51,8474770;77,91;-169,55;-1,48;3;9;0,5;2,3;1,28;1,47;1,28;1,13;1,39;158,60;43,61
30;13,7;1,84;0,35;9,29;-0,17;41,40;0;0;0;322,7;4,6795106;51,8474770;77,91;-169,55;-1,48;3;9;0,5;2,3;1,28;1,54;1,27;1,46;1,40;158,60;43,67
40;13,7;1,66;0,16;9,58;-0,52;41,40;0;0;0;322,7;4,6795106;51,8474770;77,91;-169,55;-1,48;3;9;0,5;2,3;1,28;1,67;1,27;1,62;1,42;158,60;43,72
50;13,7;1,83;0,38;9,44;-0,40;41,40;0;0;0;322,7;4,6795106;51,8474770;77,91;-169,55;-1,48;3;9;0,5;2,3;1,27;1,52;1,26;1,44;1,42;158,60;43,78
60;13,7;1,57;0,36;9,69;-0,57;41,40;0;0;0;322,7;4,6795106;51,8474770;77,91;-169,55;-1,48;3;9;0,5;2,3;1,27;1,64;1,26;1,62;1,44;158,60;43,83
70;13,7;1,60;0,64;9,72;0,06;42,52;0;0;0;323,6;4,6794896;51,8474922;76,47;-167,65;-1,43;3;9;0,5;2,3;1,27;1,71;1,25;1,36;1,43;158,60;43,88
80;13,7;1,43;0,13;10,24;-0,17;42,52;0;0;0;323,6;4,6794896;51,8474922;76,47;-167,65;-1,43;3;9;0,5;2,3;1,27;1,97;1,25;1,39;1,43;159,53;43,92
90;13,6;1,47;0,47;9,80;-1,11;42,52;0;0;0;323,6;4,6794896;51,8474922;76,47;-167,65;-1,43;3;9;0,5;2,3;1,26;1,83;1,24;1,22;1,41;159,53;43,96
100;13,6;1,55;0,75;9,63;-0,18;42,52;0;0;0;323,6;4,6794896;51,8474922;76,47;-167,65;-1,43;3;9;0,5;2,3;1,26;1,92;1,23;1,27;1,39;159,53;44,01
