FILE NAME;008_22306_050622_064524.CSV
HASHCODE;232BC648D4EFA29405FD0A1EBE77DC80CD51582CDBA5F9741E0032C208134082
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;05/06/2022;06:45:24;GMT+00:00
END OF MEASUREMENT;05/06/2022;06:45:40;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   15760;[mS]
TIME GPS SPEED WENT OVER 2KPH;      30;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 85,61;[kph]
TIME OF PEAK GPS SPEED;    7820;[mS]
PEAK SPEED; 85,63;[kph]
TIME OF PEAK SPEED;    7740;[mS]
TIME ACC WENT OVER 1m/s/s;    2160;[mS]
PEAK ACC;  4,33;[m/s/s]
TIME OF PEAK ACC;    2790;[mS]
PEAK PITCH;   1,68;[deg]
TIME OF PEAK PITCH;   14110;[mS]
PEAK SLIP; 179,94;[deg]
TIME OF PEAK SLIP;    7040;[mS]
AVERAGE LONG ACCEL AT START;  2,25;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,62;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,70;[m/s/s]
AVERAGE PITCH RATE AT START;   0,02;[deg/s]
AVERAGE LONG ACCEL AT END; -0,11;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,12;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,56;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,59;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;13,6;1,99;0,76;9,35;0,29;55,69;0;0;0;322,7;4,6795630;51,8474312;81,52;-174,50;-1,06;3;9;0,5;2,3;0,91;1,90;1,47;2,52;2,06;158,54;58,91
10;13,6;1,99;0,57;10,11;2,51;55,69;0;0;0;322,7;4,6795630;51,8474312;81,52;-174,50;-1,06;3;9;0,5;2,3;1,47;4,45;1,47;1,74;2,03;158,54;58,97
20;13,7;1,88;0,51;10,53;1,45;56,95;0;0;0;322,7;4,6795359;51,8474541;79,64;-172,22;-1,00;3;9;0,5;2,3;1,48;3,88;1,49;1,74;2,00;158,54;59,03
30;13,7;2,77;0,75;9,84;2,99;56,95;0;0;0;322,7;4,6795359;51,8474541;79,64;-172,22;-1,00;3;9;0,5;2,3;1,49;3,58;1,51;1,62;1,96;158,54;59,08
40;13,7;1,69;0,23;10,25;0,86;56,95;0;0;0;322,7;4,6795359;51,8474541;79,64;-172,22;-1,00;3;9;0,5;2,3;1,50;3,78;1,53;2,51;2,01;158,54;59,17
50;13,7;1,71;0,30;9,92;1,56;56,95;0;0;0;322,7;4,6795359;51,8474541;79,64;-172,22;-1,00;3;9;0,5;2,3;1,51;3,29;1,54;1,42;1,96;158,54;59,22
60;13,7;2,60;0,59;9,87;2,18;56,95;0;0;0;322,7;4,6795359;51,8474541;79,64;-172,22;-1,00;3;9;0,5;2,3;1,52;3,03;1,55;1,45;1,91;158,54;59,27
70;13,7;2,03;0,82;9,20;-0,28;56,95;0;0;0;322,7;4,6795359;51,8474541;79,64;-172,22;-1,00;3;9;0,5;2,3;1,52;3,09;1,57;2,33;1,95;158,54;59,35
80;13,7;2,58;0,72;10,16;1,87;56,95;0;0;0;322,7;4,6795359;51,8474541;79,64;-172,22;-1,00;3;9;0,5;2,3;1,53;3,30;1,57;1,76;1,93;158,54;59,41
90;13,6;2,25;0,88;10,07;2,17;56,95;0;0;0;322,7;4,6795359;51,8474541;79,64;-172,22;-1,00;3;9;0,5;2,3;1,54;3,40;1,58;2,31;1,97;158,54;59,50
100;13,6;1,49;0,69;9,73;-0,50;56,95;0;0;0;322,7;4,6795359;51,8474541;79,64;-172,22;-1,00;3;9;0,5;2,3;1,54;3,57;1,60;1,98;1,97;158,54;59,57
