FILE NAME;009_22306_050622_064804.CSV
HASHCODE;7A27491B3BAAC78A928294FDA0CEA400F1F0EE8C16DAE51216F2EAE77D27DFC2
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;05/06/2022;06:48:04;GMT+00:00
END OF MEASUREMENT;05/06/2022;06:48:19;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   14590;[mS]
TIME GPS SPEED WENT OVER 2KPH;     110;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 68,87;[kph]
TIME OF PEAK GPS SPEED;   11910;[mS]
PEAK SPEED; 69,03;[kph]
TIME OF PEAK SPEED;   12390;[mS]
TIME ACC WENT OVER 1m/s/s;    1080;[mS]
PEAK ACC;  3,15;[m/s/s]
TIME OF PEAK ACC;     520;[mS]
PEAK PITCH;   1,81;[deg]
TIME OF PEAK PITCH;       0;[mS]
PEAK SLIP; 179,93;[deg]
TIME OF PEAK SLIP;    7740;[mS]
AVERAGE LONG ACCEL AT START;  1,98;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,57;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,59;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,57;[deg/s]
AVERAGE LONG ACCEL AT END;  0,06;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,26;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,68;[m/s/s]
AVERAGE PITCH RATE AT END;   0,15;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;13,7;2,91;0,60;9,65;-0,35;57,17;0;0;0;323,1;4,6794853;51,8474808;76,18;-169,17;-1,37;3;8;0,5;2,3;1,49;3,63;1,82;2,05;2,04;158,96;60,03
10;13,6;2,35;0,61;9,71;-0,06;57,17;0;0;0;323,1;4,6794853;51,8474808;76,18;-169,17;-1,37;3;8;0,5;2,3;1,81;3,48;1,81;2,61;2,09;158,96;60,13
20;13,6;2,19;1,19;9,22;-1,62;57,17;0;0;0;323,1;4,6794853;51,8474808;76,18;-169,17;-1,37;3;8;0,5;2,3;1,81;3,51;1,81;2,04;2,09;158,96;60,21
30;13,7;2,53;0,49;9,33;-0,40;57,17;0;0;0;323,1;4,6794853;51,8474808;76,18;-169,17;-1,37;3;8;0,5;2,3;1,80;4,66;1,79;1,89;2,07;158,96;60,29
40;13,7;2,41;0,88;9,02;0,52;57,17;0;0;0;323,1;4,6794853;51,8474808;76,18;-169,17;-1,37;3;8;0,5;2,3;1,80;4,21;1,78;2,23;2,08;158,96;60,37
50;13,7;1,71;0,55;10,02;-0,88;57,17;0;0;0;323,1;4,6794853;51,8474808;76,18;-169,17;-1,37;3;8;0,5;2,3;1,79;4,39;1,78;2,11;2,09;158,96;60,46
60;13,7;2,53;0,16;9,65;0,80;57,17;0;0;0;323,1;4,6794853;51,8474808;76,18;-169,17;-1,37;3;8;0,5;2,3;1,79;4,19;1,77;1,41;2,02;158,96;60,52
70;13,7;1,69;0,43;9,73;-0,59;57,17;0;0;0;323,1;4,6794853;51,8474808;76,18;-169,17;-1,37;3;8;0,5;2,3;1,79;3,73;1,78;2,23;2,04;158,96;60,60
80;13,7;1,85;0,43;9,72;-0,42;57,17;0;0;0;323,1;4,6794853;51,8474808;76,18;-169,17;-1,37;3;8;0,5;2,3;1,79;3,58;1,77;1,39;1,98;158,96;60,65
90;13,7;2,63;0,49;9,55;0,59;57,17;0;0;0;323,1;4,6794853;51,8474808;76,18;-169,17;-1,37;3;8;0,5;2,3;1,78;3,46;1,76;1,55;1,93;158,96;60,71
100;13,6;2,24;0,76;9,65;-0,98;57,17;0;0;0;323,1;4,6794572;51,8475037;74,24;-166,51;-1,37;3;8;0,5;2,3;1,78;3,40;1,76;2,34;1,97;158,96;60,79
