FILE NAME;010_22306_050622_065040.CSV
HASHCODE;9DB9C083E984D21C798570915130074DAB4522B597A7002D7DA3358F0A7A5682
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;05/06/2022;06:50:40;GMT+00:00
END OF MEASUREMENT;05/06/2022;06:51:01;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   20210;[mS]
TIME GPS SPEED WENT OVER 2KPH;     100;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 84,17;[kph]
TIME OF PEAK GPS SPEED;    9490;[mS]
PEAK SPEED; 83,92;[kph]
TIME OF PEAK SPEED;    9370;[mS]
TIME ACC WENT OVER 1m/s/s;    2540;[mS]
PEAK ACC;  5,01;[m/s/s]
TIME OF PEAK ACC;   11550;[mS]
PEAK PITCH;   1,49;[deg]
TIME OF PEAK PITCH;   15410;[mS]
PEAK SLIP; 179,89;[deg]
TIME OF PEAK SLIP;    8110;[mS]
AVERAGE LONG ACCEL AT START;  2,35;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,55;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,86;[m/s/s]
AVERAGE PITCH RATE AT START;   0,60;[deg/s]
AVERAGE LONG ACCEL AT END; -1,19;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,20;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,75;[m/s/s]
AVERAGE PITCH RATE AT END;   0,09;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;13,7;2,15;0,87;9,70;1,62;51,73;0;0;0;321,8;4,6796546;51,8473549;87,80;-183,24;0,13;3;10;0,5;2,3;1,57;3,38;1,09;2,34;2,01;157,70;54,17
10;13,7;2,73;0,74;9,83;1,73;51,73;0;0;0;321,8;4,6796546;51,8473549;87,80;-183,24;0,13;3;10;0,5;2,3;1,10;5,07;1,10;1,96;2,00;157,70;54,25
20;13,7;1,98;0,80;10,22;1,52;51,73;0;0;0;321,8;4,6796546;51,8473549;87,80;-183,24;0,13;3;10;0,5;2,3;1,11;4,70;1,12;2,54;2,06;157,70;54,35
30;13,7;2,29;0,65;10,08;2,31;51,73;0;0;0;321,8;4,6796546;51,8473549;87,80;-183,24;0,13;3;10;0,5;2,3;1,12;4,69;1,13;1,79;2,03;157,70;54,42
40;13,7;2,32;0,45;10,02;2,65;51,73;0;0;0;321,8;4,6796546;51,8473549;87,80;-183,24;0,13;3;10;0,5;2,3;1,13;4,48;1,15;2,09;2,04;157,70;54,50
50;13,7;1,77;0,46;10,11;1,69;51,73;0;0;0;321,8;4,6796546;51,8473549;87,80;-183,24;0,13;3;10;0,5;2,3;1,13;4,11;1,17;2,12;2,04;157,70;54,58
60;13,7;2,19;0,74;10,28;2,31;51,73;0;0;0;321,8;4,6796546;51,8473549;87,80;-183,24;0,13;3;10;0,5;2,3;1,14;3,87;1,19;1,57;2,00;157,70;54,64
70;13,7;2,55;0,39;10,51;3,13;51,73;0;0;0;321,8;4,6796546;51,8473549;87,80;-183,24;0,13;3;10;0,5;2,3;1,15;3,94;1,21;1,99;2,00;157,70;54,71
80;13,7;2,15;0,98;9,88;1,84;51,73;0;0;0;321,8;4,6796546;51,8473549;87,80;-183,24;0,13;3;10;0,5;2,3;1,16;3,73;1,24;2,34;2,03;157,70;54,80
90;13,7;2,42;0,63;10,07;2,54;51,73;0;0;0;321,8;4,6796546;51,8473549;87,80;-183,24;0,13;3;9;0,5;2,3;1,17;3,96;1,25;1,93;2,02;157,70;54,88
100;13,7;2,06;0,59;9,41;1,61;53,32;0;0;0;322,3;4,6796284;51,8473740;86,01;-180,96;0,17;3;9;0,5;2,3;1,18;3,93;1,28;2,21;2,04;157,70;54,96
