FILE NAME;011_22306_050622_071512.CSV
HASHCODE;09E866FB271A288F2D57C18F8BF31534CB328EC37514F6566AB2A825663C9044
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;05/06/2022;07:15:12;GMT+00:00
END OF MEASUREMENT;05/06/2022;07:16:00;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   47780;[mS]
TIME GPS SPEED WENT OVER 2KPH;     110;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 88,52;[kph]
TIME OF PEAK GPS SPEED;    8910;[mS]
PEAK SPEED; 88,71;[kph]
TIME OF PEAK SPEED;    8640;[mS]
TIME ACC WENT OVER 1m/s/s;     330;[mS]
PEAK ACC;  6,25;[m/s/s]
TIME OF PEAK ACC;   21250;[mS]
PEAK PITCH;   6,55;[deg]
TIME OF PEAK PITCH;   21650;[mS]
PEAK SLIP; 179,99;[deg]
TIME OF PEAK SLIP;   17920;[mS]
AVERAGE LONG ACCEL AT START;  0,17;[m/s/s]
AVERAGE LAT ACCEL AT START;  1,40;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,89;[m/s/s]
AVERAGE PITCH RATE AT START;   0,16;[deg/s]
AVERAGE LONG ACCEL AT END; -1,06;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,39;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,71;[m/s/s]
AVERAGE PITCH RATE AT END;   0,21;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;13,8;-2,47;1,17;11,00;1,19;80,50;0;0;0;320,8;4,6796055;51,8472176;97,46;-255,85;-5,15;3;8;0,8;3,5;0,00;0,18;-2,35;-2,46;0,33;153,29;81,40
10;13,8;0,64;0,41;10,20;2,46;80,50;0;0;0;320,8;4,6796055;51,8472176;97,46;-255,85;-5,15;3;8;0,8;3,5;2,34;6,84;-2,34;-2,07;0,09;153,29;81,33
20;13,8;0,53;0,81;10,57;2,62;80,50;0;0;0;320,8;4,6796055;51,8472176;97,46;-255,85;-5,15;3;8;0,8;3,5;2,33;4,62;-2,32;1,04;0,18;153,29;81,37
30;13,8;0,24;0,68;9,68;1,30;80,50;0;0;0;320,8;4,6796055;51,8472176;97,46;-255,85;-5,15;3;8;0,8;3,5;2,32;4,66;-2,30;0,93;0,26;153,29;81,41
40;13,8;0,30;1,69;9,37;0,46;80,50;0;0;0;320,8;4,6796055;51,8472176;97,46;-255,85;-5,15;3;8;0,8;3,5;2,31;4,49;-2,29;0,63;0,29;153,29;81,43
50;13,8;1,16;1,27;9,27;0,38;80,50;0;0;0;320,8;4,6796055;51,8472176;97,46;-255,85;-5,15;3;8;0,8;3,5;2,31;5,58;-2,29;0,70;0,33;153,29;81,45
60;13,8;1,02;1,04;9,59;0,35;80,50;0;0;0;320,8;4,6796055;51,8472176;97,46;-255,85;-5,15;3;8;0,8;3,5;2,30;5,89;-2,28;1,55;0,46;153,29;81,51
70;13,8;0,90;1,46;10,18;0,06;80,50;0;0;0;320,8;4,6796055;51,8472176;97,46;-255,85;-5,15;3;8;0,8;3,5;2,30;5,92;-2,28;1,42;0,55;153,29;81,56
80;13,8;0,92;1,42;9,78;-1,04;80,50;0;0;0;320,8;4,6796055;51,8472176;97,46;-255,85;-5,15;3;8;0,8;3,5;2,30;6,25;-2,29;1,29;0,63;153,29;81,60
90;13,8;0,22;1,36;8,72;-1,32;80,50;0;0;0;320,8;4,6796055;51,8472176;97,46;-255,85;-5,15;3;8;0,8;3,5;2,30;6,48;-2,30;1,31;0,69;153,29;81,65
100;13,8;-0,20;1,58;9,37;-1,61;81,04;0;0;0;321,7;4,6795235;51,8472824;91,82;-248,63;-5,09;3;8;0,8;3,5;2,30;6,63;-2,32;0,61;0,69;153,29;81,67
