FILE NAME;012_22306_050622_071818.CSV
HASHCODE;870841D1EF32C322B33F504130C3FB6FA6618DCB5DA97E36AB74DEA237C61D2B
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;05/06/2022;07:18:19;GMT+00:00
END OF MEASUREMENT;05/06/2022;07:18:32;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   13190;[mS]
TIME GPS SPEED WENT OVER 2KPH;     120;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 98,86;[kph]
TIME OF PEAK GPS SPEED;    5710;[mS]
PEAK SPEED; 99,58;[kph]
TIME OF PEAK SPEED;    5230;[mS]
TIME ACC WENT OVER 1m/s/s;      30;[mS]
PEAK ACC;  4,63;[m/s/s]
TIME OF PEAK ACC;    9590;[mS]
PEAK PITCH;   4,15;[deg]
TIME OF PEAK PITCH;    8730;[mS]
PEAK SLIP; 179,99;[deg]
TIME OF PEAK SLIP;   10510;[mS]
AVERAGE LONG ACCEL AT START; -0,14;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,92;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,99;[m/s/s]
AVERAGE PITCH RATE AT START;   0,81;[deg/s]
AVERAGE LONG ACCEL AT END; -1,15;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,44;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,19;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,92;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;13,8;-0,99;0,41;8,70;-1,78;94,57;0;0;0;321,9;4,6796308;51,8471985;99,22;-258,13;-8,90;3;7;0,8;3,5;2,47;8,21;-2,76;-1,27;-0,03;154,44;94,35
10;13,8;-0,14;1,00;8,68;-2,45;94,57;0;0;0;321,9;4,6796308;51,8471985;99,22;-258,13;-8,90;3;7;0,8;3,5;2,77;2,41;-2,77;-0,52;-0,08;154,44;94,32
20;13,8;-0,70;0,62;12,18;-1,88;94,57;0;0;0;321,9;4,6796308;51,8471985;99,22;-258,13;-8,90;3;7;0,8;3,5;2,79;4,14;-2,80;0,34;-0,04;154,44;94,33
30;13,8;-1,84;0,86;10,92;-2,60;94,57;0;0;0;321,9;4,6796308;51,8471985;99,22;-258,13;-8,90;3;7;0,8;3,5;2,80;3,98;-2,82;-0,22;-0,06;154,44;94,32
40;13,8;-1,86;0,66;10,66;-2,20;94,57;0;0;0;321,9;4,6796308;51,8471985;99,22;-258,13;-8,90;3;7;0,8;3,5;2,81;4,24;-2,85;-1,36;-0,19;154,44;94,27
50;13,8;-0,39;0,04;9,20;-2,22;94,57;0;0;0;321,9;4,6796308;51,8471985;99,22;-258,13;-8,90;3;7;0,8;3,5;2,82;4,16;-2,87;-1,37;-0,30;154,44;94,21
60;13,8;0,92;-0,01;7,72;-1,87;94,57;0;0;0;321,9;4,6796308;51,8471985;99,22;-258,13;-8,90;3;7;0,8;3,5;2,84;3,51;-2,90;0,11;-0,26;154,44;94,21
70;13,8;1,57;2,18;6,71;-0,08;94,57;0;0;0;321,9;4,6796308;51,8471985;99,22;-258,13;-8,90;3;7;0,8;3,5;2,85;3,01;-2,92;1,42;-0,09;154,44;94,26
80;13,8;0,57;0,76;9,52;2,69;94,57;0;0;0;321,9;4,6796308;51,8471985;99,22;-258,13;-8,90;3;7;0,8;3,5;2,86;4,24;-2,92;2,07;0,12;154,44;94,33
90;13,9;-0,48;1,95;10,62;0,46;94,57;0;0;0;321,9;4,6796308;51,8471985;99,22;-258,13;-8,90;3;7;0,8;3,5;2,86;4,26;-2,90;1,07;0,22;154,44;94,37
100;13,9;-2,16;0,72;10,07;0,72;94,57;0;0;0;321,9;4,6796308;51,8471985;99,22;-258,13;-8,90;3;7;0,8;3,5;2,87;4,99;-2,90;0,01;0,20;154,44;94,37
