FILE NAME;013_22306_050622_072116.CSV
HASHCODE;27BB48E41FD73EC5EAECA0F996E36A905C135312A3D70B89B875CDE5E261B534
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;05/06/2022;07:21:16;GMT+00:00
END OF MEASUREMENT;05/06/2022;07:21:32;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   15620;[mS]
TIME GPS SPEED WENT OVER 2KPH;      90;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 71,57;[kph]
TIME OF PEAK GPS SPEED;   15290;[mS]
PEAK SPEED; 71,78;[kph]
TIME OF PEAK SPEED;   15630;[mS]
TIME ACC WENT OVER 1m/s/s;    1200;[mS]
PEAK ACC;  3,56;[m/s/s]
TIME OF PEAK ACC;   12940;[mS]
PEAK PITCH;   3,34;[deg]
TIME OF PEAK PITCH;   12300;[mS]
PEAK SLIP; 179,99;[deg]
TIME OF PEAK SLIP;   13090;[mS]
AVERAGE LONG ACCEL AT START;  1,78;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,50;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,90;[m/s/s]
AVERAGE PITCH RATE AT START;   0,32;[deg/s]
AVERAGE LONG ACCEL AT END; -0,35;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,31;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,70;[m/s/s]
AVERAGE PITCH RATE AT END;   0,11;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;13,8;2,12;0,37;9,81;0,59;50,44;0;0;0;321,7;4,6795712;51,8474236;95,11;-232,66;2,06;3;8;0,7;2,8;2,49;5,31;-1,74;2,42;2,06;154,23;53,65
10;13,8;2,18;0,68;9,78;0,76;50,44;0;0;0;321,7;4,6795712;51,8474236;95,11;-232,66;2,06;3;8;0,7;2,8;1,74;2,18;-1,74;2,42;2,09;154,23;53,74
20;13,8;1,56;0,95;9,85;0,42;50,44;0;0;0;321,7;4,6795712;51,8474236;95,11;-232,66;2,06;3;8;0,7;2,8;1,74;3,09;-1,73;2,48;2,13;154,23;53,84
30;13,8;1,74;0,48;10,25;0,98;50,44;0;0;0;321,7;4,6795712;51,8474236;95,11;-232,66;2,06;3;8;0,7;2,8;1,73;3,92;-1,73;1,86;2,11;154,23;53,91
40;13,8;2,04;0,63;10,51;0,96;50,44;0;0;0;321,7;4,6795712;51,8474236;95,11;-232,66;2,06;3;8;0,7;2,8;1,73;3,64;-1,73;2,04;2,10;154,23;53,98
50;13,8;1,74;0,55;9,64;0,65;50,44;0;0;0;321,7;4,6795712;51,8474236;95,11;-232,66;2,06;3;8;0,7;2,8;1,73;3,65;-1,72;2,34;2,12;154,23;54,07
60;13,8;1,60;0,22;10,55;1,10;50,44;0;0;0;321,7;4,6795712;51,8474236;95,11;-232,66;2,06;3;8;0,7;2,8;1,73;3,58;-1,72;2,04;2,11;154,23;54,14
70;13,8;1,85;0,33;9,98;1,42;50,44;0;0;0;321,7;4,6795712;51,8474236;95,11;-232,66;2,06;3;8;0,7;2,8;1,72;3,25;-1,71;1,89;2,09;154,23;54,20
80;13,8;1,18;0,50;10,38;0,11;52,20;0;0;0;322,7;4,6795459;51,8474426;93,35;-230,38;2,12;3;7;0,8;2,8;1,72;3,09;-1,70;2,14;2,10;154,23;54,28
90;13,8;2,14;0,59;10,60;0,80;52,20;0;0;0;322,7;4,6795459;51,8474426;93,35;-230,38;2,12;3;7;0,8;2,8;1,72;3,07;-1,70;1,47;2,03;155,29;54,33
100;13,8;2,19;0,25;10,46;1,57;52,20;0;0;0;322,7;4,6795459;51,8474426;93,35;-230,38;2,12;3;7;0,8;2,8;1,72;3,10;-1,69;2,43;2,07;155,29;54,42
