FILE NAME;014_22306_050622_072135.CSV
HASHCODE;479DEACF42C85ED920EA4422E1286A23083ECC9E46A478EA0BE996F55A16961D
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;05/06/2022;07:21:35;GMT+00:00
END OF MEASUREMENT;05/06/2022;07:21:41;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;    6280;[mS]
TIME GPS SPEED WENT OVER 2KPH;     190;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 70,31;[kph]
TIME OF PEAK GPS SPEED;     190;[mS]
PEAK SPEED; 70,20;[kph]
TIME OF PEAK SPEED;       0;[mS]
TIME ACC WENT OVER 1m/s/s;      20;[mS]
PEAK ACC;  2,74;[m/s/s]
TIME OF PEAK ACC;    6220;[mS]
PEAK PITCH;   4,51;[deg]
TIME OF PEAK PITCH;    6290;[mS]
PEAK SLIP; 179,99;[deg]
TIME OF PEAK SLIP;    5200;[mS]
AVERAGE LONG ACCEL AT START; -1,15;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,45;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,67;[m/s/s]
AVERAGE PITCH RATE AT START;   0,17;[deg/s]
AVERAGE LONG ACCEL AT END; -1,84;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,55;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,70;[m/s/s]
AVERAGE PITCH RATE AT END;   0,11;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;13,9;-0,66;-1,08;9,70;-0,43;70,92;0;0;0;347,3;4,6779122;51,8503418;-18,96;92,00;7,91;3;10;0,9;2,8;1,65;2,93;-3,03;-0,70;-0,67;179,83;70,20
10;13,9;-1,30;-0,94;9,23;-1,16;70,92;0;0;0;347,3;4,6779122;51,8503418;-18,96;92,00;7,91;3;10;0,9;2,8;3,04;6,33;-3,04;-0,15;-0,62;179,83;70,20
20;13,9;-0,48;-0,32;10,02;0,35;70,92;0;0;0;347,3;4,6779122;51,8503418;-18,96;92,00;7,91;3;10;0,9;2,8;3,04;5,93;-3,05;-0,78;-0,64;179,83;70,17
30;13,8;-0,68;-0,03;10,18;0,65;70,92;0;0;0;347,3;4,6779122;51,8503418;-18,96;92,00;7,91;3;10;0,9;2,8;3,05;4,57;-3,05;0,04;-0,57;179,83;70,18
40;13,8;-1,23;-0,63;9,26;-0,15;70,92;0;0;0;347,3;4,6779122;51,8503418;-18,96;92,00;7,91;3;10;0,9;2,8;3,05;3,48;-3,05;-0,16;-0,53;179,83;70,17
50;13,8;-1,18;-0,17;9,50;0,81;70,92;0;0;0;347,3;4,6779122;51,8503418;-18,96;92,00;7,91;3;10;0,9;2,8;3,05;3,52;-3,05;-0,71;-0,55;179,83;70,15
60;13,9;-1,30;-0,22;9,80;0,50;70,92;0;0;0;347,3;4,6779122;51,8503418;-18,96;92,00;7,91;3;10;0,9;2,8;3,05;3,10;-3,05;-0,66;-0,56;179,83;70,13
70;13,9;-1,10;-0,51;9,57;0,87;70,92;0;0;0;347,3;4,6779122;51,8503418;-18,96;92,00;7,91;3;10;0,9;2,8;3,05;2,84;-3,05;-0,78;-0,58;179,83;70,10
80;13,9;-1,23;-0,59;9,88;0,10;70,92;0;0;0;347,3;4,6779122;51,8503418;-18,96;92,00;7,91;3;10;0,9;2,8;3,05;2,86;-3,04;-0,58;-0,58;179,83;70,08
90;13,9;-0,98;-0,07;10,00;0,57;70,92;0;0;0;347,3;4,6779122;51,8503418;-18,96;92,00;7,91;3;10;0,9;2,8;3,05;2,92;-3,04;-0,71;-0,59;179,83;70,06
100;13,8;-1,05;-0,49;9,77;-0,09;70,92;0;0;0;347,3;4,6779122;51,8503418;-18,96;92,00;7,91;3;10;0,9;2,8;3,04;2,67;-3,04;-0,46;-0,58;179,83;70,04
