FILE NAME;015_22306_050622_072400.CSV
HASHCODE;E8157585A83B37A6C4CFA035961AEC22C76971E3F3E1D29144063F44D6E53E23
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;05/06/2022;07:24:00;GMT+00:00
END OF MEASUREMENT;05/06/2022;07:24:16;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   16090;[mS]
TIME GPS SPEED WENT OVER 2KPH;     170;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 68,69;[kph]
TIME OF PEAK GPS SPEED;   15770;[mS]
PEAK SPEED; 68,89;[kph]
TIME OF PEAK SPEED;   16100;[mS]
TIME ACC WENT OVER 1m/s/s;     960;[mS]
PEAK ACC;  3,27;[m/s/s]
TIME OF PEAK ACC;   12750;[mS]
PEAK PITCH;   3,77;[deg]
TIME OF PEAK PITCH;   12090;[mS]
PEAK SLIP; 180,00;[deg]
TIME OF PEAK SLIP;   15980;[mS]
AVERAGE LONG ACCEL AT START;  1,37;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,37;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,77;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,38;[deg/s]
AVERAGE LONG ACCEL AT END; -0,39;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,32;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,91;[m/s/s]
AVERAGE PITCH RATE AT END;   0,77;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;13,8;0,99;0,47;9,36;2,13;53,71;0;0;0;322,8;4,6795440;51,8474388;93,23;-231,14;0,41;3;7;0,8;2,5;2,15;3,03;-2,15;2,50;2,17;155,35;56,08
10;13,8;1,01;0,42;9,87;-0,12;53,71;0;0;0;322,8;4,6795440;51,8474388;93,23;-231,14;0,41;3;7;0,8;2,5;2,14;2,89;-2,13;1,36;2,09;155,35;56,12
20;13,8;1,76;0,37;10,31;1,71;53,71;0;0;0;322,8;4,6795440;51,8474388;93,23;-231,14;0,41;3;7;0,8;2,5;2,14;2,75;-2,13;1,38;2,02;155,35;56,17
30;13,8;1,89;0,61;10,12;1,32;53,71;0;0;0;322,8;4,6795440;51,8474388;93,23;-231,14;0,41;3;7;0,8;2,5;2,13;2,60;-2,12;2,13;2,03;155,35;56,24
40;13,8;1,63;0,51;9,76;-0,19;53,71;0;0;0;322,8;4,6795440;51,8474388;93,23;-231,14;0,41;3;7;0,8;2,5;2,13;2,80;-2,11;2,25;2,05;155,35;56,32
50;13,8;2,38;0,19;9,97;1,12;53,71;0;0;0;322,8;4,6795440;51,8474388;93,23;-231,14;0,41;3;7;0,8;2,5;2,12;2,83;-2,11;1,99;2,05;155,35;56,39
60;13,8;1,71;0,45;9,61;1,35;53,71;0;0;0;322,8;4,6795440;51,8474388;93,23;-231,14;0,41;3;7;0,8;2,5;2,12;2,58;-2,10;2,74;2,12;155,35;56,49
70;13,8;1,42;-0,10;10,51;-0,36;53,71;0;0;0;322,8;4,6795440;51,8474388;93,23;-231,14;0,41;3;7;0,8;2,5;2,12;2,59;-2,09;2,07;2,11;155,35;56,57
80;13,8;2,31;0,05;10,80;1,30;53,71;0;0;0;322,8;4,6795440;51,8474388;93,23;-231,14;0,41;3;7;0,8;2,5;2,12;2,24;-2,10;1,78;2,08;155,35;56,63
90;13,8;1,58;0,22;10,20;-0,49;53,71;0;0;0;322,8;4,6795440;51,8474388;93,23;-231,14;0,41;3;7;0,8;2,5;2,11;2,04;-2,09;2,67;2,14;155,35;56,73
100;13,8;1,39;0,14;10,21;0,92;53,71;0;0;0;322,8;4,6795440;51,8474388;93,23;-231,14;0,41;3;7;0,8;2,5;2,11;1,97;-2,10;1,94;2,12;155,35;56,80
