FILE NAME;016_22306_050622_072716.CSV
HASHCODE;F5B3F72B3766DB4F2FE176179ADC2720F567F72C69A607213B5A9369B20BAC7E
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;05/06/2022;07:27:16;GMT+00:00
END OF MEASUREMENT;05/06/2022;07:27:35;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   19180;[mS]
TIME GPS SPEED WENT OVER 2KPH;       0;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 58,86;[kph]
TIME OF PEAK GPS SPEED;   18810;[mS]
PEAK SPEED; 59,20;[kph]
TIME OF PEAK SPEED;   19190;[mS]
TIME ACC WENT OVER 1m/s/s;    1140;[mS]
PEAK ACC;  3,40;[m/s/s]
TIME OF PEAK ACC;   16010;[mS]
PEAK PITCH;   3,70;[deg]
TIME OF PEAK PITCH;   15230;[mS]
PEAK SLIP; 179,96;[deg]
TIME OF PEAK SLIP;   15800;[mS]
AVERAGE LONG ACCEL AT START;  1,43;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,39;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,93;[m/s/s]
AVERAGE PITCH RATE AT START;   0,50;[deg/s]
AVERAGE LONG ACCEL AT END; -0,30;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,33;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,68;[m/s/s]
AVERAGE PITCH RATE AT END;   0,01;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;13,8;1,67;0,42;10,14;1,92;42,08;0;0;0;322,0;4,6796651;51,8473473;101,54;-241,41;2,64;3;9;0,6;2,2;2,16;2,15;-2,48;1,81;1,84;154,57;45,32
10;13,8;1,55;0,71;9,74;2,14;43,60;0;0;0;322,3;4,6796432;51,8473663;100,07;-239,12;2,67;3;9;0,5;2,2;2,47;2,46;-2,47;2,09;1,87;154,57;45,39
20;13,8;1,89;0,42;10,10;2,67;43,60;0;0;0;322,3;4,6796432;51,8473663;100,07;-239,12;2,67;3;9;0,5;2,2;2,46;3,31;-2,45;1,97;1,88;154,86;45,46
30;13,8;1,54;-0,09;10,50;1,91;43,60;0;0;0;322,3;4,6796432;51,8473663;100,07;-239,12;2,67;3;9;0,5;2,2;2,45;3,03;-2,42;2,30;1,92;154,86;45,54
40;13,8;1,66;0,28;10,19;2,11;43,60;0;0;0;322,3;4,6796432;51,8473663;100,07;-239,12;2,67;3;9;0,5;2,2;2,44;2,14;-2,41;1,96;1,92;154,86;45,61
50;13,8;1,56;0,38;10,49;2,93;43,60;0;0;0;322,3;4,6796432;51,8473663;100,07;-239,12;2,67;3;9;0,5;2,2;2,43;2,03;-2,39;2,07;1,94;154,86;45,68
60;13,8;1,12;0,25;10,57;1,92;43,60;0;0;0;322,3;4,6796432;51,8473663;100,07;-239,12;2,67;3;9;0,5;2,2;2,42;2,07;-2,37;1,97;1,94;154,86;45,75
70;13,8;1,40;0,28;10,36;1,46;43,60;0;0;0;322,3;4,6796432;51,8473663;100,07;-239,12;2,67;3;9;0,5;2,2;2,41;1,98;-2,35;1,52;1,90;154,86;45,80
80;13,8;1,97;0,37;10,01;2,52;43,60;0;0;0;322,3;4,6796432;51,8473663;100,07;-239,12;2,67;3;9;0,5;2,2;2,40;1,93;-2,34;1,80;1,89;154,86;45,87
90;13,8;1,46;0,72;10,02;2,40;43,60;0;0;0;322,3;4,6796432;51,8473663;100,07;-239,12;2,67;3;9;0,5;2,2;2,39;1,96;-2,32;2,37;1,94;154,86;45,96
100;13,8;1,54;0,58;10,05;2,09;43,60;0;0;0;322,3;4,6796432;51,8473663;100,07;-239,12;2,67;3;9;0,5;2,2;2,38;2,19;-2,29;1,86;1,93;154,86;46,03
