FILE NAME;017_22306_050622_073040.CSV
HASHCODE;5AE611EA4ED7BF8BCFDA3E065615FCD681F5A76DF55CCD7BB674D70985F3E7A4
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;05/06/2022;07:30:41;GMT+00:00
END OF MEASUREMENT;05/06/2022;07:30:58;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   17190;[mS]
TIME GPS SPEED WENT OVER 2KPH;      90;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 79,24;[kph]
TIME OF PEAK GPS SPEED;    5880;[mS]
PEAK SPEED; 79,61;[kph]
TIME OF PEAK SPEED;    5630;[mS]
TIME ACC WENT OVER 1m/s/s;    2290;[mS]
PEAK ACC;  5,43;[m/s/s]
TIME OF PEAK ACC;   16170;[mS]
PEAK PITCH;   3,23;[deg]
TIME OF PEAK PITCH;   11460;[mS]
PEAK SLIP; 179,99;[deg]
TIME OF PEAK SLIP;   12090;[mS]
AVERAGE LONG ACCEL AT START;  1,71;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,33;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,89;[m/s/s]
AVERAGE PITCH RATE AT START;   0,20;[deg/s]
AVERAGE LONG ACCEL AT END; -0,79;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,54;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,73;[m/s/s]
AVERAGE PITCH RATE AT END;   0,06;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;13,8;1,80;-0,07;10,16;0,46;51,84;0;0;0;322,2;4,6796236;51,8473701;98,72;-238,74;0,22;3;9;0,8;2,2;2,31;2,28;-1,44;2,06;2,13;154,78;54,28
10;13,8;2,10;0,26;9,68;0,09;51,84;0;0;0;322,2;4,6796236;51,8473701;98,72;-238,74;0,22;3;9;0,8;2,2;1,44;0,43;-1,44;2,05;2,12;154,78;54,35
20;13,7;2,55;0,39;9,36;0,65;51,84;0;0;0;322,2;4,6796236;51,8473701;98,72;-238,74;0,22;3;9;0,8;2,2;1,44;0,54;-1,44;2,35;2,15;154,78;54,43
30;13,8;1,59;0,34;10,16;-0,74;51,84;0;0;0;322,2;4,6796236;51,8473701;98,72;-238,74;0,22;3;9;0,8;2,2;1,44;1,12;-1,44;2,80;2,21;154,78;54,54
40;13,8;1,46;0,30;9,74;-0,84;51,84;0;0;0;322,2;4,6796236;51,8473701;98,72;-238,74;0,22;3;9;0,8;2,2;1,44;1,34;-1,45;1,84;2,17;154,78;54,61
50;13,7;2,33;0,17;9,63;0,86;51,84;0;0;0;322,2;4,6796236;51,8473701;98,72;-238,74;0,22;3;9;0,8;2,2;1,44;1,43;-1,46;1,72;2,13;154,78;54,67
60;13,8;1,30;-0,07;9,62;-1,64;51,84;0;0;0;322,2;4,6796236;51,8473701;98,72;-238,74;0,22;3;9;0,8;2,2;1,45;1,36;-1,45;2,58;2,17;154,78;54,77
70;13,8;1,84;-0,17;10,40;-1,23;51,84;0;0;0;322,2;4,6796236;51,8473701;98,72;-238,74;0,22;3;9;0,8;2,2;1,45;1,10;-1,47;1,55;2,11;154,78;54,83
80;13,7;2,55;-0,15;10,77;1,32;52,88;0;0;0;321,9;4,6795979;51,8473892;96,93;-236,46;0,27;3;9;0,8;2,2;1,45;0,84;-1,48;2,09;2,11;154,78;54,91
90;13,8;1,30;0,32;9,84;-2,13;52,88;0;0;0;321,9;4,6795979;51,8473892;96,93;-236,46;0,27;3;9;0,8;2,2;1,45;0,65;-1,47;2,80;2,18;154,46;55,01
100;13,7;2,06;0,34;9,88;-1,57;52,88;0;0;0;321,9;4,6795979;51,8473892;96,93;-236,46;0,27;3;9;0,8;2,2;1,46;0,77;-1,49;1,56;2,12;154,46;55,07
