FILE NAME;018_22306_050622_073304.CSV
HASHCODE;B2FE056F4AE798C2EDF64C5BE967E15656A8EBCFC7A5C55BAE86B5931C0C96B0
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;05/06/2022;07:33:05;GMT+00:00
END OF MEASUREMENT;05/06/2022;07:33:21;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   16120;[mS]
TIME GPS SPEED WENT OVER 2KPH;     220;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 68,04;[kph]
TIME OF PEAK GPS SPEED;   14790;[mS]
PEAK SPEED; 68,11;[kph]
TIME OF PEAK SPEED;   16070;[mS]
TIME ACC WENT OVER 1m/s/s;    2140;[mS]
PEAK ACC;  3,55;[m/s/s]
TIME OF PEAK ACC;   13620;[mS]
PEAK PITCH;   2,83;[deg]
TIME OF PEAK PITCH;   12950;[mS]
PEAK SLIP; 180,00;[deg]
TIME OF PEAK SLIP;   13790;[mS]
AVERAGE LONG ACCEL AT START;  1,75;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,44;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,91;[m/s/s]
AVERAGE PITCH RATE AT START;   0,32;[deg/s]
AVERAGE LONG ACCEL AT END; -0,39;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,48;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,66;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,09;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;13,8;2,28;0,57;9,71;0,46;46,48;0;0;0;321,8;4,6796527;51,8473473;100,69;-241,41;-1,73;3;9;0,7;2,2;1,54;1,92;-1,45;2,32;2,02;154,32;49,64
10;13,8;2,10;0,34;10,03;0,95;46,48;0;0;0;321,8;4,6796527;51,8473473;100,69;-241,41;-1,73;3;9;0,7;2,2;1,45;3,31;-1,45;2,53;2,07;154,32;49,73
20;13,8;1,77;0,17;10,28;0,48;46,48;0;0;0;321,8;4,6796527;51,8473473;100,69;-241,41;-1,73;3;9;0,7;2,2;1,45;2,66;-1,44;2,35;2,10;154,32;49,82
30;13,8;1,56;0,18;10,23;-0,01;46,48;0;0;0;321,8;4,6796527;51,8473473;100,69;-241,41;-1,73;3;9;0,7;2,2;1,45;2,10;-1,44;2,02;2,09;154,32;49,90
40;13,8;1,73;0,13;10,29;-0,08;46,48;0;0;0;321,8;4,6796527;51,8473473;100,69;-241,41;-1,73;3;9;0,7;2,2;1,45;1,84;-1,45;1,81;2,06;154,32;49,96
50;13,8;1,93;-0,08;10,24;0,64;46,48;0;0;0;321,8;4,6796527;51,8473473;100,69;-241,41;-1,73;3;9;0,7;2,2;1,45;1,62;-1,45;1,98;2,05;154,32;50,04
60;13,8;1,69;0,19;10,39;-0,68;46,48;0;0;0;321,8;4,6796527;51,8473473;100,69;-241,41;-1,73;3;9;0,7;2,2;1,45;1,27;-1,45;2,18;2,07;154,32;50,12
70;13,8;1,93;0,18;10,08;0,24;46,48;0;0;0;321,8;4,6796527;51,8473473;100,69;-241,41;-1,73;3;9;0,7;2,2;1,45;1,25;-1,46;1,94;2,05;154,32;50,19
80;13,8;2,39;0,43;9,17;0,84;46,48;0;0;0;321,8;4,6796527;51,8473473;100,69;-241,41;-1,73;3;9;0,7;2,2;1,45;1,22;-1,46;2,19;2,07;154,32;50,27
90;13,8;1,45;0,34;10,33;-0,10;46,48;0;0;0;321,8;4,6796527;51,8473473;100,69;-241,41;-1,73;3;9;0,7;2,2;1,45;1,37;-1,45;2,65;2,13;154,32;50,37
100;13,8;2,04;0,42;9,95;-0,01;46,48;0;0;0;321,8;4,6796527;51,8473473;100,69;-241,41;-1,73;3;9;0,7;2,2;1,45;1,43;-1,46;1,70;2,08;154,32;50,43
