FILE NAME;019_22306_050622_073532.CSV
HASHCODE;FCADEFF7BAA26BD339BE91A6E9BC854CB05FB19D4FBC7BB34AFB9AD98A6C78D2
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;05/06/2022;07:35:32;GMT+00:00
END OF MEASUREMENT;05/06/2022;07:35:49;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   16410;[mS]
TIME GPS SPEED WENT OVER 2KPH;     140;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 57,53;[kph]
TIME OF PEAK GPS SPEED;    3350;[mS]
PEAK SPEED; 57,76;[kph]
TIME OF PEAK SPEED;    3110;[mS]
TIME ACC WENT OVER 1m/s/s;      30;[mS]
PEAK ACC;  4,21;[m/s/s]
TIME OF PEAK ACC;    6220;[mS]
PEAK PITCH;   4,11;[deg]
TIME OF PEAK PITCH;   13580;[mS]
PEAK SLIP; 179,99;[deg]
TIME OF PEAK SLIP;   13950;[mS]
AVERAGE LONG ACCEL AT START; -0,79;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,33;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,75;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,10;[deg/s]
AVERAGE LONG ACCEL AT END; -0,27;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,48;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,71;[m/s/s]
AVERAGE PITCH RATE AT END;   0,03;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;13,8;-0,73;0,25;9,72;-2,50;51,98;0;0;0;323,5;4,6794548;51,8475189;87,10;-222,40;-1,03;1;7;0,6;2,1;1,51;2,56;-2,89;-0,56;0,39;156,04;53,56
10;13,8;-0,81;0,22;9,39;-2,32;51,98;0;0;0;323,5;4,6794548;51,8475189;87,10;-222,40;-1,03;1;7;0,6;2,1;2,92;1,44;-2,92;-0,23;0,33;156,04;53,55
20;13,8;-1,32;0,12;9,86;-3,02;51,98;0;0;0;323,5;4,6794548;51,8475189;87,10;-222,40;-1,03;1;7;0,6;2,1;2,93;1,36;-2,94;-0,31;0,26;156,04;53,54
30;13,8;-1,16;0,50;9,84;-2,95;51,98;0;0;0;323,5;4,6794548;51,8475189;87,10;-222,40;-1,03;1;7;0,6;2,1;2,95;1,14;-2,98;-0,81;0,16;156,04;53,50
40;13,8;-0,96;0,60;10,12;-2,31;51,98;0;0;0;323,5;4,6794548;51,8475189;87,10;-222,40;-1,03;1;7;0,6;2,1;2,96;1,58;-3,01;-0,65;0,08;156,04;53,48
50;13,8;-0,88;0,43;10,16;-1,69;51,98;0;0;0;323,5;4,6794548;51,8475189;87,10;-222,40;-1,03;1;7;0,6;2,1;2,98;1,96;-3,03;-0,44;0,02;156,04;53,46
60;13,8;-0,96;0,09;10,00;-1,68;51,98;0;0;0;323,5;4,6794548;51,8475189;87,10;-222,40;-1,03;1;7;0,6;2,1;2,99;2,06;-3,05;-0,35;-0,01;156,04;53,44
70;13,8;-1,03;0,26;9,48;-1,42;51,98;0;0;0;323,5;4,6794548;51,8475189;87,10;-222,40;-1,03;1;7;0,6;2,1;3,00;1,84;-3,07;-0,44;-0,06;156,04;53,42
80;13,8;-1,18;0,20;10,00;-1,31;51,98;0;0;0;323,5;4,6794548;51,8475189;87,10;-222,40;-1,03;1;7;0,6;2,1;3,01;1,80;-3,09;-0,50;-0,10;156,04;53,40
90;13,8;-1,03;0,14;10,65;-0,93;51,98;0;0;0;323,5;4,6794548;51,8475189;87,10;-222,40;-1,03;1;7;0,6;2,1;3,02;1,73;-3,11;-0,65;-0,16;156,04;53,38
100;13,8;-0,94;0,48;10,00;-0,87;51,98;0;0;0;323,5;4,6794548;51,8475189;87,10;-222,40;-1,03;1;7;0,6;2,1;3,03;1,64;-3,12;-0,50;-0,19;156,04;53,36
