FILE NAME;020_22306_050622_073551.CSV
HASHCODE;E7EEAE70C5BC51408AA4A19A0D96D506C6A0AD791EB00DD3BC52D62F2B277D95
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;05/06/2022;07:35:51;GMT+00:00
END OF MEASUREMENT;05/06/2022;07:36:03;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   11960;[mS]
TIME GPS SPEED WENT OVER 2KPH;     170;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 62,21;[kph]
TIME OF PEAK GPS SPEED;    4780;[mS]
PEAK SPEED; 62,15;[kph]
TIME OF PEAK SPEED;    4660;[mS]
TIME ACC WENT OVER 1m/s/s;     250;[mS]
PEAK ACC;  4,85;[m/s/s]
TIME OF PEAK ACC;    9530;[mS]
PEAK PITCH;   7,54;[deg]
TIME OF PEAK PITCH;    9820;[mS]
PEAK SLIP; 179,99;[deg]
TIME OF PEAK SLIP;    3790;[mS]
AVERAGE LONG ACCEL AT START; -0,29;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,39;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,52;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,29;[deg/s]
AVERAGE LONG ACCEL AT END; -3,10;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,34;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,73;[m/s/s]
AVERAGE PITCH RATE AT END;   0,76;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;13,8;-0,21;-0,53;9,53;0,10;59,26;0;0;0;347,4;4,6780128;51,8500519;-12,06;59,69;3,94;1;11;0,7;2,1;3,19;1,95;-2,39;0,16;0,17;179,98;59,15
10;13,8;-0,44;-1,08;9,13;-0,38;59,26;0;0;0;347,4;4,6780128;51,8500519;-12,06;59,69;3,94;1;11;0,7;2,1;2,39;3,09;-2,39;0,20;0,17;179,98;59,15
20;13,8;0,24;-2,13;9,25;-0,10;59,26;0;0;0;347,4;4,6780128;51,8500519;-12,06;59,69;3,94;1;11;0,7;2,1;2,40;4,71;-2,40;-0,03;0,15;179,98;59,15
30;13,8;0,04;-0,20;9,22;-0,11;59,26;0;0;0;347,4;4,6780128;51,8500519;-12,06;59,69;3,94;1;11;0,7;2,1;2,40;7,32;-2,41;0,65;0,20;179,98;59,17
40;13,8;-0,41;-0,46;9,75;-0,76;59,26;0;0;0;347,4;4,6780128;51,8500519;-12,06;59,69;3,94;1;11;0,7;2,1;2,40;5,78;-2,41;0,45;0,22;179,98;59,19
50;13,8;-0,29;-1,22;9,78;-1,08;59,26;0;0;0;347,4;4,6780128;51,8500519;-12,06;59,69;3,94;1;11;0,7;2,1;2,41;5,16;-2,42;-0,00;0,20;179,98;59,19
60;13,8;-0,03;-0,95;9,02;-0,88;59,26;0;0;0;347,4;4,6780128;51,8500519;-12,06;59,69;3,94;1;11;0,7;2,1;2,41;5,49;-2,44;0,13;0,19;179,98;59,19
70;13,8;-0,16;-0,33;8,54;-1,47;59,26;0;0;0;347,4;4,6780128;51,8500519;-12,06;59,69;3,94;1;11;0,7;2,1;2,42;5,50;-2,45;0,39;0,21;179,98;59,21
80;13,8;-0,01;-0,78;9,14;-0,51;59,26;0;0;0;347,4;4,6780128;51,8500519;-12,06;59,69;3,94;1;11;0,7;2,1;2,42;5,06;-2,47;0,27;0,22;179,98;59,21
90;13,8;0,30;-0,71;9,00;-0,96;59,26;0;0;0;347,4;4,6780128;51,8500519;-12,06;59,69;3,94;1;11;0,7;2,1;2,43;5,00;-2,48;0,41;0,24;179,98;59,23
100;13,8;-0,24;-0,41;9,66;-1,28;59,26;0;0;0;347,4;4,6780128;51,8500519;-12,06;59,69;3,94;1;11;0,7;2,1;2,44;4,92;-2,49;0,73;0,29;179,98;59,25
