FILE NAME;021_22306_050622_073850.CSV
HASHCODE;D1EB63E9DFCBA8F10413EDF68389AA7D2109D55C39E9FDE592147DA88317A4FC
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;05/06/2022;07:38:50;GMT+00:00
END OF MEASUREMENT;05/06/2022;07:39:04;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   13950;[mS]
TIME GPS SPEED WENT OVER 2KPH;     110;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 94,93;[kph]
TIME OF PEAK GPS SPEED;    7560;[mS]
PEAK SPEED; 95,33;[kph]
TIME OF PEAK SPEED;    7220;[mS]
TIME ACC WENT OVER 1m/s/s;      20;[mS]
PEAK ACC;  4,92;[m/s/s]
TIME OF PEAK ACC;   11150;[mS]
PEAK PITCH;   4,36;[deg]
TIME OF PEAK PITCH;   10750;[mS]
PEAK SLIP; 179,94;[deg]
TIME OF PEAK SLIP;   12320;[mS]
AVERAGE LONG ACCEL AT START; -0,79;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,10;[m/s/s]
AVERAGE VERT ACCEL AT START; 10,09;[m/s/s]
AVERAGE PITCH RATE AT START;   1,11;[deg/s]
AVERAGE LONG ACCEL AT END; -0,42;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,13;[m/s/s]
AVERAGE VERT ACCEL AT END; 10,24;[m/s/s]
AVERAGE PITCH RATE AT END;   1,47;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;13,8;-1,11;-0,46;11,14;1,66;90,29;0;0;0;322,4;4,6798778;51,8470192;116,19;-277,90;-2,72;3;7;1,2;2,1;2,94;2,36;-3,91;-1,69;-0,65;154,96;89,89
10;13,8;-1,53;0,04;10,55;3,64;90,29;0;0;0;322,4;4,6798778;51,8470192;116,19;-277,90;-2,72;3;7;1,2;2,1;3,89;2,69;-3,89;-0,45;-0,63;154,96;89,87
20;13,8;-1,94;0,34;11,31;3,20;90,29;0;0;0;322,4;4,6798778;51,8470192;116,19;-277,90;-2,72;3;7;1,2;2,1;3,88;1,22;-3,86;-0,87;-0,65;154,96;89,83
30;13,8;-2,01;0,37;11,18;4,11;90,29;0;0;0;322,4;4,6798778;51,8470192;116,19;-277,90;-2,72;3;7;1,2;2,1;3,86;0,14;-3,83;-1,29;-0,71;154,96;89,78
40;13,8;-2,02;0,41;11,92;4,18;90,29;0;0;0;322,4;4,6798778;51,8470192;116,19;-277,90;-2,72;3;7;1,2;2,1;3,84;0,44;-3,79;-1,36;-0,78;154,96;89,72
50;13,8;-1,55;0,39;11,95;5,32;90,29;0;0;0;322,4;4,6798778;51,8470192;116,19;-277,90;-2,72;3;7;1,2;2,1;3,82;0,83;-3,75;-1,38;-0,84;154,96;89,67
60;13,8;-1,62;0,31;12,56;5,90;90,29;0;0;0;322,4;4,6798778;51,8470192;116,19;-277,90;-2,72;3;7;1,2;2,1;3,80;1,07;-3,70;-0,92;-0,85;154,96;89,63
70;13,8;-1,61;0,57;12,42;6,47;90,29;0;0;0;322,4;4,6798778;51,8470192;116,19;-277,90;-2,72;3;7;1,2;2,1;3,78;1,18;-3,64;-1,00;-0,86;154,96;89,58
80;13,8;-2,20;-0,37;13,19;6,86;90,29;0;0;0;322,4;4,6798778;51,8470192;116,19;-277,90;-2,72;3;7;1,2;2,1;3,75;1,45;-3,58;-1,00;-0,88;154,96;89,54
90;13,8;-1,32;-0,02;11,97;7,32;90,29;0;0;0;322,4;4,6798778;51,8470192;116,19;-277,90;-2,72;3;7;1,2;2,1;3,73;1,05;-3,51;-1,60;-0,95;154,96;89,48
100;13,8;-1,41;0,91;9,68;4,90;90,29;0;0;0;322,4;4,6798334;51,8470535;113,13;-274,10;-2,72;3;8;1,2;2,1;3,70;0,93;-3,44;-0,73;-0,93;154,96;89,45
