FILE NAME;022_22306_050622_074150.CSV
HASHCODE;2DBB0ED1A310ECB7C99C8B2038A7607801980C7A3BF9FF392BD44C2716F68C5E
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;05/06/2022;07:41:50;GMT+00:00
END OF MEASUREMENT;05/06/2022;07:42:05;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   14910;[mS]
TIME GPS SPEED WENT OVER 2KPH;     140;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED;106,16;[kph]
TIME OF PEAK GPS SPEED;   10950;[mS]
PEAK SPEED;106,50;[kph]
TIME OF PEAK SPEED;   10400;[mS]
TIME ACC WENT OVER 1m/s/s;      60;[mS]
PEAK ACC;  5,98;[m/s/s]
TIME OF PEAK ACC;   10400;[mS]
PEAK PITCH;   4,29;[deg]
TIME OF PEAK PITCH;    9550;[mS]
PEAK SLIP; 179,98;[deg]
TIME OF PEAK SLIP;   11950;[mS]
AVERAGE LONG ACCEL AT START;  0,12;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,61;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,82;[m/s/s]
AVERAGE PITCH RATE AT START;   0,01;[deg/s]
AVERAGE LONG ACCEL AT END; -1,41;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,43;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,56;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,05;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;13,8;1,64;0,43;9,24;0,70;97,85;0;0;0;321,6;4,6799908;51,8469315;123,97;-287,41;-3,12;3;6;1,4;2,2;3,31;0,57;-3,19;3,32;0,30;154,15;98,25
10;13,8;-0,09;1,15;9,76;-2,53;97,85;0;0;0;321,6;4,6799908;51,8469315;123,97;-287,41;-3,12;3;6;1,4;2,2;3,18;2,52;-3,18;2,18;0,49;154,15;98,33
20;13,8;1,94;0,78;10,70;2,08;97,85;0;0;0;321,6;4,6799908;51,8469315;123,97;-287,41;-3,12;3;6;1,4;2,2;3,20;4,62;-3,21;0,46;0,49;154,15;98,34
30;13,8;0,37;0,13;11,21;1,83;97,85;0;0;0;321,6;4,6799908;51,8469315;123,97;-287,41;-3,12;3;6;1,4;2,2;3,20;4,60;-3,19;2,49;0,69;154,15;98,42
40;13,8;-0,07;0,32;8,67;0,98;97,85;0;0;0;321,6;4,6799908;51,8469315;123,97;-287,41;-3,12;3;6;1,4;2,2;3,19;3,64;-3,17;0,92;0,71;154,15;98,44
50;13,8;-1,60;-0,20;8,42;-0,54;97,85;0;0;0;321,6;4,6799908;51,8469315;123,97;-287,41;-3,12;3;6;1,4;2,2;3,19;3,29;-3,17;0,47;0,69;154,15;98,45
60;13,8;-1,57;0,60;9,20;-1,74;97,85;0;0;0;321,6;4,6799908;51,8469315;123,97;-287,41;-3,12;3;6;1,4;2,2;3,18;2,55;-3,17;-1,06;0,51;154,15;98,41
70;13,8;0,11;0,33;10,53;-2,01;97,85;0;0;0;321,6;4,6799908;51,8469315;123,97;-287,41;-3,12;3;6;1,4;2,2;3,18;2,68;-3,19;-1,02;0,36;154,15;98,36
80;13,8;1,44;0,72;9,41;-0,70;97,85;0;0;0;321,6;4,6799908;51,8469315;123,97;-287,41;-3,12;3;6;1,4;2,2;3,19;2,59;-3,22;0,66;0,39;154,15;98,38
90;13,8;0,87;0,28;10,19;-0,07;97,85;0;0;0;321,6;4,6799908;51,8469315;123,97;-287,41;-3,12;3;6;1,4;2,2;3,19;2,77;-3,22;1,99;0,55;154,15;98,45
100;13,8;-0,76;-0,07;10,47;-1,57;97,85;0;0;0;321,6;4,6799908;51,8469315;123,97;-287,41;-3,12;3;6;1,4;2,2;3,20;2,66;-3,23;1,42;0,64;154,15;98,49
