FILE NAME;023_22306_050622_074420.CSV
HASHCODE;2922215334EF7FB8EC3B8AA1DF297A6662A7166B13E8AF675DC6D518B243B349
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;05/06/2022;07:44:21;GMT+00:00
END OF MEASUREMENT;05/06/2022;07:44:39;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   18640;[mS]
TIME GPS SPEED WENT OVER 2KPH;      60;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 60,77;[kph]
TIME OF PEAK GPS SPEED;    5880;[mS]
PEAK SPEED; 61,09;[kph]
TIME OF PEAK SPEED;    5580;[mS]
TIME ACC WENT OVER 1m/s/s;    1610;[mS]
PEAK ACC;  2,89;[m/s/s]
TIME OF PEAK ACC;   12400;[mS]
PEAK PITCH;   3,53;[deg]
TIME OF PEAK PITCH;   15230;[mS]
PEAK SLIP; 180,00;[deg]
TIME OF PEAK SLIP;   16250;[mS]
AVERAGE LONG ACCEL AT START;  1,44;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,41;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,95;[m/s/s]
AVERAGE PITCH RATE AT START;   0,48;[deg/s]
AVERAGE LONG ACCEL AT END; -0,36;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,45;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,68;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,24;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;13,8;1,51;0,51;10,28;1,33;39,60;0;0;0;321,9;4,6796536;51,8473434;100,78;-241,41;-0,34;3;10;0,6;2,0;3,12;3,53;-2,45;1,71;1,73;154,44;42,07
10;13,8;1,43;0,39;10,56;2,09;39,60;0;0;0;321,9;4,6796536;51,8473434;100,78;-241,41;-0,34;3;10;0,6;2,0;2,44;2,97;-2,44;1,93;1,75;154,44;42,14
20;13,8;1,48;0,21;10,02;1,68;39,60;0;0;0;321,9;4,6796536;51,8473434;100,78;-241,41;-0,34;3;10;0,6;2,0;2,43;2,63;-2,42;1,84;1,76;154,44;42,21
30;13,8;1,29;0,42;10,30;1,71;39,60;0;0;0;321,9;4,6796536;51,8473434;100,78;-241,41;-0,34;3;10;0,6;2,0;2,42;2,16;-2,41;1,90;1,77;154,44;42,28
40;13,8;1,63;0,58;10,30;1,84;39,60;0;0;0;321,9;4,6796536;51,8473434;100,78;-241,41;-0,34;3;11;0,6;2,0;2,41;2,24;-2,39;1,70;1,76;154,44;42,34
50;13,8;1,28;0,38;10,58;1,61;40,79;0;0;0;322,0;4,6796336;51,8473587;99,40;-239,89;-0,31;3;11;0,6;2,0;2,41;2,46;-2,38;2,04;1,79;154,44;42,42
60;13,8;1,41;0,43;10,54;1,59;40,79;0;0;0;322,0;4,6796336;51,8473587;99,40;-239,89;-0,31;3;11;0,6;2,0;2,40;2,42;-2,36;1,69;1,78;154,57;42,48
70;13,8;1,41;0,30;10,47;2,11;40,79;0;0;0;322,0;4,6796336;51,8473587;99,40;-239,89;-0,31;3;11;0,6;2,0;2,39;2,44;-2,35;1,81;1,78;154,57;42,54
80;13,8;1,40;0,15;9,65;1,54;40,79;0;0;0;322,0;4,6796336;51,8473587;99,40;-239,89;-0,31;3;11;0,6;2,0;2,38;2,35;-2,33;1,81;1,79;154,57;42,61
90;13,8;1,52;0,45;9,82;1,19;40,79;0;0;0;322,0;4,6796336;51,8473587;99,40;-239,89;-0,31;3;11;0,6;2,0;2,38;2,19;-2,32;1,80;1,79;154,57;42,68
100;13,8;1,83;0,60;9,75;1,75;40,79;0;0;0;322,0;4,6796336;51,8473587;99,40;-239,89;-0,31;3;11;0,6;2,0;2,37;2,23;-2,31;1,92;1,80;154,57;42,76
