FILE NAME;024_22306_050622_074753.CSV
HASHCODE;A8F6D4DA9FEF1B6459B75F0D434711020DDC6D6B6ED74FC2DA52EC3A3C07E57A
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;05/06/2022;07:47:53;GMT+00:00
END OF MEASUREMENT;05/06/2022;07:48:10;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   16220;[mS]
TIME GPS SPEED WENT OVER 2KPH;     150;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 70,02;[kph]
TIME OF PEAK GPS SPEED;   16190;[mS]
PEAK SPEED; 70,33;[kph]
TIME OF PEAK SPEED;   16110;[mS]
TIME ACC WENT OVER 1m/s/s;    1080;[mS]
PEAK ACC;  3,83;[m/s/s]
TIME OF PEAK ACC;    6150;[mS]
PEAK PITCH;   3,77;[deg]
TIME OF PEAK PITCH;   12430;[mS]
PEAK SLIP; 179,99;[deg]
TIME OF PEAK SLIP;   12560;[mS]
AVERAGE LONG ACCEL AT START;  1,63;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,40;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,85;[m/s/s]
AVERAGE PITCH RATE AT START;   0,08;[deg/s]
AVERAGE LONG ACCEL AT END; -0,41;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,02;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,81;[m/s/s]
AVERAGE PITCH RATE AT END;   0,28;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;13,8;2,08;0,60;10,11;0,30;51,16;0;0;0;323,2;4,6795459;51,8474350;93,38;-231,52;-0,55;3;8;0,6;2,0;2,36;2,37;-2,36;1,91;2,07;155,74;53,26
10;13,7;1,44;0,45;10,38;1,59;51,16;0;0;0;323,2;4,6795459;51,8474350;93,38;-231,52;-0,55;3;8;0,6;2,0;2,36;3,48;-2,36;2,48;2,11;155,74;53,35
20;13,7;2,07;0,56;10,03;1,65;51,16;0;0;0;323,2;4,6795459;51,8474350;93,38;-231,52;-0,55;3;8;0,6;2,0;2,35;3,06;-2,35;1,84;2,09;155,74;53,41
30;13,8;1,37;0,62;10,26;1,28;51,16;0;0;0;323,2;4,6795459;51,8474350;93,38;-231,52;-0,55;3;8;0,6;2,0;2,35;3,12;-2,33;2,47;2,12;155,74;53,50
40;13,8;1,67;0,23;10,21;1,71;51,16;0;0;0;323,2;4,6795459;51,8474350;93,38;-231,52;-0,55;3;8;0,6;2,0;2,34;3,26;-2,32;1,77;2,09;155,74;53,56
50;13,7;1,59;0,52;9,99;1,18;51,16;0;0;0;323,2;4,6795459;51,8474350;93,38;-231,52;-0,55;3;8;0,6;2,0;2,34;2,87;-2,31;2,06;2,09;155,74;53,63
60;13,8;1,37;0,14;10,63;0,84;51,16;0;0;0;323,2;4,6795459;51,8474350;93,38;-231,52;-0,55;3;8;0,6;2,0;2,33;2,90;-2,30;1,98;2,08;155,74;53,71
70;13,8;1,87;0,37;10,32;1,93;51,16;0;0;0;323,2;4,6795459;51,8474350;93,38;-231,52;-0,55;3;8;0,6;2,0;2,32;2,60;-2,29;1,76;2,05;155,74;53,78
80;13,7;1,41;0,61;9,63;0,53;51,16;0;0;0;323,2;4,6795459;51,8474350;93,38;-231,52;-0,55;3;8;0,6;2,0;2,32;2,55;-2,28;2,26;2,07;155,74;53,86
90;13,8;1,77;0,82;9,50;0,20;51,16;0;0;0;323,2;4,6795459;51,8474350;93,38;-231,52;-0,55;3;8;0,6;2,0;2,31;2,66;-2,28;1,80;2,04;155,74;53,93
100;13,7;2,32;0,57;9,96;1,88;51,16;0;0;0;323,2;4,6795459;51,8474350;93,38;-231,52;-0,55;3;8;0,6;2,0;2,31;2,88;-2,28;2,16;2,05;155,74;54,01
