FILE NAME;025_22306_050622_075049.CSV
HASHCODE;0821CDD4CC94C57FB5577502D95A3A226FF30DFE1E75227B77FE3633532A61FE
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;05/06/2022;07:50:50;GMT+00:00
END OF MEASUREMENT;05/06/2022;07:51:05;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   15850;[mS]
TIME GPS SPEED WENT OVER 2KPH;      70;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 68,69;[kph]
TIME OF PEAK GPS SPEED;   15480;[mS]
PEAK SPEED; 69,21;[kph]
TIME OF PEAK SPEED;   15860;[mS]
TIME ACC WENT OVER 1m/s/s;    1750;[mS]
PEAK ACC;  3,94;[m/s/s]
TIME OF PEAK ACC;   13170;[mS]
PEAK PITCH;   3,73;[deg]
TIME OF PEAK PITCH;   12500;[mS]
PEAK SLIP; 179,98;[deg]
TIME OF PEAK SLIP;   12280;[mS]
AVERAGE LONG ACCEL AT START;  1,55;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,47;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,83;[m/s/s]
AVERAGE PITCH RATE AT START;   0,06;[deg/s]
AVERAGE LONG ACCEL AT END; -0,32;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,23;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,70;[m/s/s]
AVERAGE PITCH RATE AT END;   0,03;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;13,7;1,99;0,46;9,73;-0,07;48,13;0;0;0;323,3;4,6795435;51,8474464;93,20;-230,38;-0,92;3;8;0,6;2,0;2,32;2,36;-2,28;1,54;1,80;155,81;50,74
10;13,7;1,98;0,44;9,70;0,80;48,13;0;0;0;323,3;4,6795435;51,8474464;93,20;-230,38;-0,92;3;8;0,6;2,0;2,28;2,69;-2,28;2,38;1,86;155,81;50,83
20;13,7;2,18;0,22;10,36;2,04;48,13;0;0;0;323,3;4,6795435;51,8474464;93,20;-230,38;-0,92;3;8;0,6;2,0;2,28;2,63;-2,28;2,37;1,91;155,81;50,92
30;13,7;1,13;0,01;10,68;0,61;48,13;0;0;0;323,3;4,6795435;51,8474464;93,20;-230,38;-0,92;3;8;0,6;2,0;2,27;2,18;-2,26;2,57;1,98;155,81;51,01
40;13,7;1,27;0,44;10,11;-0,35;48,13;0;0;0;323,3;4,6795435;51,8474464;93,20;-230,38;-0,92;3;8;0,6;2,0;2,27;1,66;-2,26;1,52;1,93;155,81;51,06
50;13,7;1,75;0,21;9,81;1,49;48,13;0;0;0;323,3;4,6795197;51,8474655;91,56;-228,10;-0,92;3;7;0,6;2,0;2,27;1,84;-2,26;1,66;1,90;155,81;51,12
60;13,7;1,19;0,39;10,19;0,90;49,46;0;0;0;323,3;4,6795197;51,8474655;91,56;-228,10;-0,88;3;7;0,6;2,0;2,27;1,74;-2,25;2,14;1,93;155,81;51,19
70;13,7;1,52;0,23;10,11;-0,13;49,46;0;0;0;323,3;4,6795197;51,8474655;91,56;-228,10;-0,88;3;7;0,6;2,0;2,26;1,82;-2,25;1,57;1,89;155,85;51,25
80;13,7;2,05;0,45;9,85;1,44;49,46;0;0;0;323,3;4,6795197;51,8474655;91,56;-228,10;-0,88;3;7;0,6;2,0;2,26;1,75;-2,25;1,91;1,89;155,85;51,32
90;13,7;1,32;0,58;10,35;-0,04;49,46;0;0;0;323,3;4,6795197;51,8474655;91,56;-228,10;-0,88;3;7;0,6;2,0;2,26;1,85;-2,24;2,44;1,95;155,85;51,40
100;13,7;2,09;0,27;10,19;1,48;49,46;0;0;0;323,3;4,6795197;51,8474655;91,56;-228,10;-0,88;3;7;0,6;2,0;2,26;2,00;-2,24;1,71;1,92;155,85;51,46
