FILE NAME;026_22306_050622_075316.CSV
HASHCODE;865ABFC2B0CD19C9F7429A6AA40CF56220DC760C4AE369423D6C30435CE0E154
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;05/06/2022;07:53:17;GMT+00:00
END OF MEASUREMENT;05/06/2022;07:53:31;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   14610;[mS]
TIME GPS SPEED WENT OVER 2KPH;     150;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 78,62;[kph]
TIME OF PEAK GPS SPEED;   14550;[mS]
PEAK SPEED; 79,08;[kph]
TIME OF PEAK SPEED;   14450;[mS]
TIME ACC WENT OVER 1m/s/s;    1860;[mS]
PEAK ACC;  5,41;[m/s/s]
TIME OF PEAK ACC;    5620;[mS]
PEAK PITCH;   3,74;[deg]
TIME OF PEAK PITCH;   11210;[mS]
PEAK SLIP; 180,00;[deg]
TIME OF PEAK SLIP;   11550;[mS]
AVERAGE LONG ACCEL AT START;  1,67;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,58;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,90;[m/s/s]
AVERAGE PITCH RATE AT START;   0,30;[deg/s]
AVERAGE LONG ACCEL AT END; -0,33;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,22;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,81;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,06;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;13,8;2,02;0,26;9,86;-0,01;53,50;0;0;0;322,7;4,6795578;51,8474197;94,17;-233,04;-1,16;3;8;0,6;1,9;2,24;3,03;-2,24;1,48;1,97;155,27;55,45
10;13,7;2,29;0,56;10,04;2,55;53,50;0;0;0;322,7;4,6795578;51,8474197;94,17;-233,04;-1,16;3;8;0,6;1,9;2,24;2,26;-2,24;2,41;2,01;155,27;55,53
20;13,7;1,16;0,62;9,98;1,30;53,50;0;0;0;322,7;4,6795578;51,8474197;94,17;-233,04;-1,16;3;8;0,6;1,9;2,23;2,59;-2,22;2,67;2,08;155,27;55,62
30;13,8;1,15;0,27;10,41;0,46;53,50;0;0;0;322,7;4,6795578;51,8474197;94,17;-233,04;-1,16;3;8;0,6;1,9;2,23;2,86;-2,21;1,54;2,03;155,27;55,68
40;13,7;2,12;0,28;9,95;2,03;53,50;0;0;0;322,7;4,6795578;51,8474197;94,17;-233,04;-1,16;3;8;0,6;1,9;2,22;2,60;-2,21;1,53;1,98;155,27;55,73
50;13,8;1,37;0,31;10,59;1,12;53,50;0;0;0;322,7;4,6795578;51,8474197;94,17;-233,04;-1,16;3;8;0,6;1,9;2,22;2,43;-2,19;2,49;2,03;155,27;55,82
60;13,7;1,91;0,52;10,72;0,33;53,50;0;0;0;322,7;4,6795578;51,8474197;94,17;-233,04;-1,16;3;8;0,6;1,9;2,21;2,35;-2,18;1,74;2,00;155,27;55,87
70;13,8;2,35;0,64;10,35;2,05;53,50;0;0;0;322,7;4,6795578;51,8474197;94,17;-233,04;-1,16;3;8;0,6;1,9;2,21;2,43;-2,18;2,28;2,03;155,27;55,96
80;13,7;0,99;0,14;10,25;0,17;53,50;0;0;0;322,7;4,6795578;51,8474197;94,17;-233,04;-1,16;3;8;0,6;1,9;2,20;2,58;-2,16;2,72;2,10;155,27;56,06
90;13,7;1,24;0,12;10,27;2,52;53,50;0;0;0;322,7;4,6795578;51,8474197;94,17;-233,04;-1,16;3;8;0,6;1,9;2,20;2,41;-2,16;1,36;2,02;155,27;56,12
100;13,8;2,31;0,29;10,32;2,09;53,50;0;0;0;322,7;4,6795578;51,8474197;94,17;-233,04;-1,16;3;8;0,6;1,9;2,19;2,25;-2,14;1,61;1,98;155,27;56,18
