FILE NAME;027_22306_050622_075523.CSV
HASHCODE;E6EF8A504CFA4C3BACF58290291CB05B41666423EEC23D9C31CCFD008EA3B662
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;05/06/2022;07:55:24;GMT+00:00
END OF MEASUREMENT;05/06/2022;07:55:40;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   16130;[mS]
TIME GPS SPEED WENT OVER 2KPH;     120;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 72,90;[kph]
TIME OF PEAK GPS SPEED;   13480;[mS]
PEAK SPEED; 72,44;[kph]
TIME OF PEAK SPEED;   12810;[mS]
TIME ACC WENT OVER 1m/s/s;    2380;[mS]
PEAK ACC;  4,24;[m/s/s]
TIME OF PEAK ACC;   12830;[mS]
PEAK PITCH;   3,07;[deg]
TIME OF PEAK PITCH;   12200;[mS]
PEAK SLIP; 179,99;[deg]
TIME OF PEAK SLIP;   15320;[mS]
AVERAGE LONG ACCEL AT START;  1,72;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,49;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,94;[m/s/s]
AVERAGE PITCH RATE AT START;   0,29;[deg/s]
AVERAGE LONG ACCEL AT END; -0,99;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,12;[m/s/s]
AVERAGE VERT ACCEL AT END; 10,00;[m/s/s]
AVERAGE PITCH RATE AT END;   0,94;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;13,8;1,81;0,39;9,90;1,35;49,25;0;0;0;322,1;4,6796312;51,8473625;99,25;-239,50;-1,89;1;10;0,6;1,9;2,14;3,35;-0,67;2,05;1,79;154,67;52,03
10;13,8;1,87;0,33;10,12;1,29;49,25;0;0;0;322,1;4,6796312;51,8473625;99,25;-239,50;-1,89;1;10;0,6;1,9;0,66;2,29;-0,66;1,93;1,80;154,67;52,11
20;13,8;1,66;0,11;10,57;1,50;49,25;0;0;0;322,1;4,6796312;51,8473625;99,25;-239,50;-1,89;1;10;0,6;1,9;0,66;2,12;-0,66;1,98;1,82;154,67;52,20
30;13,8;2,03;0,43;10,50;1,48;49,25;0;0;0;322,1;4,6796312;51,8473625;99,25;-239,50;-1,89;1;10;0,6;1,9;0,65;1,63;-0,64;1,77;1,81;154,67;52,27
40;13,8;1,96;0,30;10,02;0,77;49,25;0;0;0;322,1;4,6796312;51,8473625;99,25;-239,50;-1,89;1;10;0,6;1,9;0,65;1,85;-0,63;2,14;1,85;154,67;52,36
50;13,8;1,69;0,21;9,88;1,01;49,25;0;0;0;322,1;4,6796312;51,8473625;99,25;-239,50;-1,89;1;10;0,6;1,9;0,65;1,83;-0,63;2,07;1,87;154,67;52,45
60;13,8;1,78;0,05;10,53;0,59;49,25;0;0;0;322,1;4,6796312;51,8473625;99,25;-239,50;-1,89;1;10;0,6;1,9;0,64;1,73;-0,62;1,80;1,86;154,67;52,53
70;13,8;1,97;0,74;9,62;-0,25;49,25;0;0;0;322,1;4,6796312;51,8473625;99,25;-239,50;-1,89;1;10;0,6;1,9;0,64;1,52;-0,62;1,89;1,87;154,67;52,61
80;13,8;2,25;0,79;9,88;0,42;49,25;0;0;0;322,1;4,6796312;51,8473625;99,25;-239,50;-1,89;1;10;0,6;1,9;0,64;1,88;-0,63;2,08;1,89;154,67;52,70
90;13,8;2,40;0,61;9,89;1,04;49,25;0;0;0;322,1;4,6796064;51,8473854;97,55;-236,84;-1,89;1;10;0,6;1,9;0,64;2,18;-0,63;2,36;1,93;154,67;52,79
100;13,8;1,46;0,60;9,28;-0,40;49,25;0;0;0;322,1;4,6796064;51,8473854;97,55;-236,84;-1,89;1;10;0,6;1,9;0,63;2,32;-0,62;2,51;1,99;154,67;52,89
